[baseline] device=cuda, hidden=256, lr=0.0005
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  Train windows: 2890, Val: 3142
Training [baseline] | T_L=252 | lr=0.0005
  G: 2,507,232 params
  D: 1,598,209 params
----------------------------------------------------------------------
Epoch   1/300 | D=1.3940 G=1.5600 | frob=21.4902 (best=inf) | 31.9s
Epoch   2/300 | D=0.3272 G=2.6278 | frob=19.1875 (best=21.4902) | 34.6s
Epoch   3/300 | D=0.1036 G=2.9603 | frob=18.3272 (best=19.1875) | 33.9s
Epoch   4/300 | D=0.0883 G=2.8785 | frob=18.1223 (best=18.3272) | 33.6s
Epoch   5/300 | D=0.0607 G=2.5813 | frob=17.4319 (best=18.1223) | 34.8s
Epoch   6/300 | D=0.0487 G=2.7464 | frob=17.7746 (best=17.4319) | 34.6s
Epoch   7/300 | D=0.0306 G=2.7685 | frob=15.5809 (best=17.4319) | 34.4s
Epoch   8/300 | D=0.0753 G=2.2482 | frob=14.2291 (best=15.5809) | 34.2s
Epoch   9/300 | D=0.0402 G=2.3336 | frob=15.9618 (best=14.2291) | 33.8s
Epoch  10/300 | D=0.0232 G=2.7496 | frob=16.4465 (best=14.2291) | 33.2s
Epoch  11/300 | D=0.0317 G=2.9990 | frob=16.8331 (best=14.2291) | 33.2s
Epoch  12/300 | D=0.0215 G=3.2015 | frob=16.7199 (best=14.2291) | 33.0s
Epoch  13/300 | D=0.0233 G=3.5748 | frob=15.4048 (best=14.2291) | 33.1s
Epoch  14/300 | D=0.0110 G=3.5388 | frob=14.1312 (best=14.2291) | 33.3s
Epoch  15/300 | D=0.1621 G=3.4289 | frob=13.6740 (best=14.1312) | 33.2s
Epoch  16/300 | D=0.4879 G=4.7804 | frob=19.9811 (best=13.6740) | 35.6s
Epoch  17/300 | D=0.0866 G=5.1338 | frob=20.9146 (best=13.6740) | 34.0s
Epoch  18/300 | D=0.0655 G=4.9746 | frob=17.8080 (best=13.6740) | 34.0s
Epoch  19/300 | D=0.0450 G=5.4118 | frob=17.8801 (best=13.6740) | 34.1s
Epoch  20/300 | D=0.0293 G=5.8763 | frob=18.3241 (best=13.6740) | 34.7s
Epoch  21/300 | D=0.0170 G=5.8072 | frob=15.6449 (best=13.6740) | 33.8s
Epoch  22/300 | D=0.0189 G=6.0122 | frob=15.1113 (best=13.6740) | 35.2s
Epoch  23/300 | D=0.0208 G=6.1276 | frob=17.3161 (best=13.6740) | 33.6s
Epoch  24/300 | D=0.0206 G=6.2662 | frob=16.4950 (best=13.6740) | 34.4s
Epoch  25/300 | D=0.0227 G=6.7495 | frob=17.4128 (best=13.6740) | 33.3s
Epoch  26/300 | D=0.0152 G=6.9878 | frob=17.3877 (best=13.6740) | 33.2s
Epoch  27/300 | D=0.0252 G=7.3308 | frob=18.6948 (best=13.6740) | 33.8s
Epoch  28/300 | D=0.0139 G=7.3471 | frob=19.0381 (best=13.6740) | 33.9s
Epoch  29/300 | D=0.0221 G=7.5158 | frob=17.4772 (best=13.6740) | 33.5s
Epoch  30/300 | D=0.0200 G=7.4539 | frob=14.9850 (best=13.6740) | 34.4s
Epoch  31/300 | D=0.0186 G=7.3794 | frob=15.5959 (best=13.6740) | 34.8s
Epoch  32/300 | D=0.0223 G=7.2132 | frob=15.3923 (best=13.6740) | 33.4s
Epoch  33/300 | D=0.0211 G=6.9712 | frob=15.3466 (best=13.6740) | 33.5s
Epoch  34/300 | D=0.0192 G=7.2362 | frob=17.6161 (best=13.6740) | 33.7s
Epoch  35/300 | D=0.0161 G=7.1263 | frob=16.9562 (best=13.6740) | 33.9s
Epoch  36/300 | D=0.0130 G=6.8800 | frob=20.2286 (best=13.6740) | 33.4s
Epoch  37/300 | D=0.0060 G=6.7338 | frob=18.1331 (best=13.6740) | 33.2s
Epoch  38/300 | D=0.0034 G=6.9097 | frob=17.9512 (best=13.6740) | 32.8s
Epoch  39/300 | D=0.0076 G=7.1959 | frob=19.9970 (best=13.6740) | 33.1s
Epoch  40/300 | D=0.0103 G=7.3120 | frob=21.9101 (best=13.6740) | 33.3s
Epoch  41/300 | D=0.0106 G=7.5990 | frob=18.1955 (best=13.6740) | 33.3s
Epoch  42/300 | D=0.0072 G=7.8574 | frob=20.4359 (best=13.6740) | 33.8s
Epoch  43/300 | D=0.0053 G=7.7988 | frob=17.1209 (best=13.6740) | 34.2s
Epoch  44/300 | D=0.0043 G=7.9674 | frob=15.6993 (best=13.6740) | 33.6s
Epoch  45/300 | D=0.0069 G=8.1468 | frob=17.6169 (best=13.6740) | 33.3s
Epoch  46/300 | D=-0.0002 G=8.0457 | frob=16.7431 (best=13.6740) | 33.9s
Epoch  47/300 | D=-0.0045 G=7.9012 | frob=16.4014 (best=13.6740) | 33.4s
Epoch  48/300 | D=-0.0309 G=7.3511 | frob=13.1220 (best=13.6740) | 34.2s
Epoch  49/300 | D=-0.0306 G=7.2004 | frob=13.9512 (best=13.1220) | 33.3s
Epoch  50/300 | D=-0.0183 G=7.8530 | frob=14.5398 (best=13.1220) | 34.7s
Epoch  51/300 | D=-0.0108 G=8.4283 | frob=11.9439 (best=13.1220) | 33.1s
Epoch  52/300 | D=-0.0019 G=8.8412 | frob=14.0007 (best=11.9439) | 33.9s
Epoch  53/300 | D=0.0008 G=9.0017 | frob=12.9229 (best=11.9439) | 33.8s
Epoch  54/300 | D=0.0017 G=9.1724 | frob=12.3686 (best=11.9439) | 34.0s
Epoch  55/300 | D=-0.0009 G=9.1715 | frob=11.1525 (best=11.9439) | 33.7s
Epoch  56/300 | D=-0.0065 G=9.3424 | frob=10.6142 (best=11.1525) | 33.3s
Epoch  57/300 | D=-0.0087 G=9.4065 | frob=14.1823 (best=10.6142) | 34.1s
Epoch  58/300 | D=-0.0082 G=9.5799 | frob=12.5753 (best=10.6142) | 34.0s
Epoch  59/300 | D=-0.0087 G=9.6412 | frob=11.2251 (best=10.6142) | 34.9s
Epoch  60/300 | D=-0.0101 G=9.9247 | frob=12.6138 (best=10.6142) | 33.7s
