[sf_gen_loss] device=cuda, hidden=256, lr=0.0005
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  Train windows: 2890, Val: 3142
Training [sf_gen_loss] | T_L=252 | lr=0.0005
  G: 2,514,400 params
  D: 1,601,793 params
  SF gen loss: λ=0.01, warmup=50
----------------------------------------------------------------------
Epoch   1/300 | D=0.2951 G=-17.1753 | frob=13.5594 (best=inf) | 34.6s
Epoch   2/300 | D=0.1058 G=-17.0691 | frob=12.5619 (best=13.5594) | 33.3s
Epoch   3/300 | D=0.0675 G=-16.8952 | frob=11.3938 (best=12.5619) | 33.2s
Epoch   4/300 | D=0.0355 G=-17.5080 | frob=10.4420 (best=11.3938) | 34.2s
Epoch   5/300 | D=-0.0118 G=-17.3353 | frob=10.0611 (best=10.4420) | 33.9s
Epoch   6/300 | D=-0.0547 G=-16.6445 | frob=10.1957 (best=10.0611) | 34.3s
Epoch   7/300 | D=-0.0905 G=-16.2019 | frob=9.1003 (best=10.0611) | 34.6s
Epoch   8/300 | D=-0.1384 G=-16.1569 | frob=7.9293 (best=9.1003) | 33.3s
Epoch   9/300 | D=-0.1540 G=-15.5640 | frob=9.8407 (best=7.9293) | 34.7s
Epoch  10/300 | D=-0.1941 G=-15.3007 | frob=7.8780 (best=7.9293) | 33.3s
Epoch  11/300 | D=-0.2318 G=-15.0115 | frob=7.3048 (best=7.8780) | 33.5s
Epoch  12/300 | D=-0.2587 G=-15.1252 | frob=7.8171 (best=7.3048) | 34.0s
Epoch  13/300 | D=-0.3098 G=-15.2894 | frob=7.1264 (best=7.3048) | 34.6s
Epoch  14/300 | D=-0.3095 G=-15.3619 | frob=7.1499 (best=7.1264) | 33.2s
Epoch  15/300 | D=-0.3401 G=-15.4093 | frob=6.6826 (best=7.1264) | 33.3s
Epoch  16/300 | D=-0.3531 G=-15.3852 | frob=7.8322 (best=6.6826) | 34.9s
Epoch  17/300 | D=-0.3517 G=-15.5839 | frob=7.1093 (best=6.6826) | 33.9s
Epoch  18/300 | D=-0.3561 G=-15.4712 | frob=6.3822 (best=6.6826) | 33.5s
Epoch  19/300 | D=-0.3563 G=-15.5101 | frob=6.4547 (best=6.3822) | 33.8s
Epoch  20/300 | D=-0.3672 G=-15.4828 | frob=6.8098 (best=6.3822) | 33.9s
Epoch  21/300 | D=-0.3615 G=-15.7011 | frob=6.2665 (best=6.3822) | 34.4s
Epoch  22/300 | D=-0.3589 G=-15.6875 | frob=5.9591 (best=6.2665) | 33.8s
Epoch  23/300 | D=-0.3672 G=-15.8108 | frob=5.8540 (best=5.9591) | 33.3s
Epoch  24/300 | D=-0.3722 G=-15.7317 | frob=5.8096 (best=5.8540) | 33.4s
Epoch  25/300 | D=-0.3657 G=-15.7599 | frob=5.0691 (best=5.8096) | 34.5s
Epoch  26/300 | D=-0.3712 G=-16.0367 | frob=6.0435 (best=5.0691) | 33.9s
Epoch  27/300 | D=-0.3676 G=-16.1669 | frob=6.4491 (best=5.0691) | 33.6s
Epoch  28/300 | D=-0.3693 G=-16.1333 | frob=4.9850 (best=5.0691) | 33.8s
Epoch  29/300 | D=-0.3574 G=-16.1238 | frob=6.2761 (best=4.9850) | 33.7s
Epoch  30/300 | D=-0.3647 G=-16.0077 | frob=5.4608 (best=4.9850) | 33.5s
Epoch  31/300 | D=-0.3621 G=-16.0041 | frob=5.3670 (best=4.9850) | 33.8s
Epoch  32/300 | D=-0.3591 G=-16.1195 | frob=5.3908 (best=4.9850) | 34.4s
Epoch  33/300 | D=-0.3626 G=-16.1669 | frob=5.3057 (best=4.9850) | 33.6s
Epoch  34/300 | D=-0.3589 G=-16.1180 | frob=4.8372 (best=4.9850) | 34.3s
Epoch  35/300 | D=-0.3560 G=-16.2061 | frob=5.1992 (best=4.8372) | 34.0s
Epoch  36/300 | D=-0.3617 G=-16.2112 | frob=5.2067 (best=4.8372) | 33.8s
Epoch  37/300 | D=-0.3635 G=-16.3105 | frob=4.9533 (best=4.8372) | 35.0s
Epoch  38/300 | D=-0.3547 G=-16.3255 | frob=4.5857 (best=4.8372) | 33.3s
Epoch  39/300 | D=-0.3575 G=-16.3607 | frob=4.6683 (best=4.5857) | 34.4s
Epoch  40/300 | D=-0.3498 G=-16.2868 | frob=4.0625 (best=4.5857) | 34.1s
Epoch  41/300 | D=-0.3596 G=-16.2694 | frob=5.2215 (best=4.0625) | 34.0s
Epoch  42/300 | D=-0.3542 G=-16.2239 | frob=4.6531 (best=4.0625) | 35.1s
Epoch  43/300 | D=-0.3573 G=-16.1863 | frob=4.4601 (best=4.0625) | 33.6s
Epoch  44/300 | D=-0.3482 G=-16.2373 | frob=4.7250 (best=4.0625) | 33.0s
Epoch  45/300 | D=-0.3505 G=-16.2300 | frob=4.2629 (best=4.0625) | 33.3s
Epoch  46/300 | D=-0.3493 G=-16.1962 | frob=3.8649 (best=4.0625) | 33.9s
Epoch  47/300 | D=-0.3533 G=-16.1265 | frob=4.6248 (best=3.8649) | 33.5s
Epoch  48/300 | D=-0.3494 G=-16.1847 | frob=4.5648 (best=3.8649) | 33.5s
Epoch  49/300 | D=-0.3524 G=-16.1784 | frob=4.5633 (best=3.8649) | 33.2s
Epoch  50/300 | D=-0.3523 G=-16.1452 | frob=4.6034 (best=3.8649) | 34.0s
Epoch  51/300 | D=-0.3513 G=-16.2005 SF=263.3612 | frob=4.0721 (best=3.8649) | 39.6s
Epoch  52/300 | D=-0.3956 G=-15.9741 SF=604.0213 | frob=5.1038 (best=3.8649) | 40.7s
Epoch  53/300 | D=-0.3875 G=-16.2097 SF=75.3632 | frob=5.1363 (best=3.8649) | 41.1s
Epoch  54/300 | D=-0.3826 G=-16.3875 SF=40.5164 | frob=5.1600 (best=3.8649) | 40.1s
Epoch  55/300 | D=-0.4050 G=-16.1675 SF=87.8633 | frob=4.2812 (best=3.8649) | 40.0s
Epoch  56/300 | D=-0.4049 G=-16.2654 SF=23.7610 | frob=4.2695 (best=3.8649) | 39.9s
Epoch  57/300 | D=-0.4004 G=-16.1162 SF=40.9009 | frob=4.5741 (best=3.8649) | 40.5s
Epoch  58/300 | D=-0.4138 G=-16.3400 SF=34.5545 | frob=4.4342 (best=3.8649) | 39.1s
Epoch  59/300 | D=-0.4147 G=-16.2942 SF=37.8262 | frob=5.3552 (best=3.8649) | 40.2s
Epoch  60/300 | D=-0.4464 G=-16.0715 SF=26.3876 | frob=4.3447 (best=3.8649) | 39.4s
Epoch  61/300 | D=-0.4298 G=-16.1584 SF=27.9611 | frob=4.1018 (best=3.8649) | 38.2s
Epoch  62/300 | D=-0.4221 G=-16.0264 SF=19.1292 | frob=4.5229 (best=3.8649) | 21.7s
Epoch  63/300 | D=-0.4361 G=-15.9703 SF=14.1552 | frob=4.5930 (best=3.8649) | 33.8s
Epoch  64/300 | D=-0.4323 G=-15.8233 SF=25.9089 | frob=3.7604 (best=3.8649) | 38.8s
Epoch  65/300 | D=-0.4432 G=-16.0951 SF=11.6274 | frob=4.5123 (best=3.7604) | 38.6s
Epoch  66/300 | D=-0.4375 G=-16.1688 SF=16.0770 | frob=4.0445 (best=3.7604) | 38.4s
Epoch  67/300 | D=-0.4381 G=-16.0580 SF=13.4611 | frob=4.2482 (best=3.7604) | 38.7s
Epoch  68/300 | D=-0.4386 G=-16.0329 SF=12.6007 | frob=3.8304 (best=3.7604) | 39.5s
Epoch  69/300 | D=-0.4387 G=-16.0467 SF=16.2180 | frob=4.0626 (best=3.7604) | 39.3s
Epoch  70/300 | D=-0.4357 G=-16.0338 SF=14.0833 | frob=4.0982 (best=3.7604) | 38.5s
Epoch  71/300 | D=-0.4532 G=-16.0997 SF=9.5026 | frob=4.0958 (best=3.7604) | 38.9s
Epoch  72/300 | D=-0.4567 G=-16.0899 SF=21.9404 | frob=3.9749 (best=3.7604) | 39.7s
Epoch  73/300 | D=-0.4579 G=-16.2387 SF=8.5946 | frob=4.1637 (best=3.7604) | 40.9s
Epoch  74/300 | D=-0.4479 G=-16.1777 SF=9.5562 | frob=4.2138 (best=3.7604) | 39.6s
Epoch  75/300 | D=-0.4537 G=-16.0168 SF=11.0222 | frob=4.0544 (best=3.7604) | 39.7s
Epoch  76/300 | D=-0.4447 G=-15.9340 SF=11.6591 | frob=3.8992 (best=3.7604) | 38.1s
Epoch  77/300 | D=-0.4452 G=-16.1183 SF=7.3149 | frob=4.2873 (best=3.7604) | 39.3s
Epoch  78/300 | D=-0.4604 G=-16.0632 SF=14.5832 | frob=3.8852 (best=3.7604) | 38.8s
Epoch  79/300 | D=-0.4509 G=-15.8972 SF=8.1386 | frob=4.0478 (best=3.7604) | 39.7s
Epoch  80/300 | D=-0.4535 G=-15.7175 SF=7.6611 | frob=4.1275 (best=3.7604) | 39.3s
Epoch  81/300 | D=-0.4549 G=-15.7779 SF=9.7728 | frob=3.9941 (best=3.7604) | 40.1s
Epoch  82/300 | D=-0.4530 G=-15.8779 SF=10.6184 | frob=3.9926 (best=3.7604) | 38.3s
Epoch  83/300 | D=-0.4577 G=-16.0461 SF=7.1783 | frob=3.7789 (best=3.7604) | 39.0s
Epoch  84/300 | D=-0.4568 G=-15.9745 SF=7.5557 | frob=3.9833 (best=3.7604) | 39.8s
Epoch  85/300 | D=-0.4559 G=-15.8038 SF=7.1524 | frob=3.7284 (best=3.7604) | 38.3s
Epoch  86/300 | D=-0.4467 G=-15.6159 SF=15.0269 | frob=3.8585 (best=3.7284) | 39.1s
Epoch  87/300 | D=-0.4596 G=-15.7375 SF=7.6789 | frob=3.8125 (best=3.7284) | 38.8s
Epoch  88/300 | D=-0.4489 G=-15.8109 SF=8.2521 | frob=3.5322 (best=3.7284) | 38.6s
Epoch  89/300 | D=-0.4580 G=-15.7706 SF=7.4163 | frob=3.7120 (best=3.5322) | 38.2s
Epoch  90/300 | D=-0.4465 G=-15.7415 SF=7.2305 | frob=3.5184 (best=3.5322) | 40.4s
Epoch  91/300 | D=-0.4556 G=-15.6636 SF=11.3564 | frob=3.8625 (best=3.5184) | 37.7s
Epoch  92/300 | D=-0.4438 G=-15.5382 SF=10.1654 | frob=3.6953 (best=3.5184) | 38.5s
Epoch  93/300 | D=-0.4543 G=-15.5189 SF=10.5684 | frob=3.7114 (best=3.5184) | 39.4s
Epoch  94/300 | D=-0.4592 G=-15.6709 SF=26.2554 | frob=3.7763 (best=3.5184) | 39.4s
Epoch  95/300 | D=-0.4580 G=-15.8095 SF=9.2516 | frob=3.6992 (best=3.5184) | 39.4s
Epoch  96/300 | D=-0.4588 G=-15.8190 SF=8.5455 | frob=3.7322 (best=3.5184) | 38.6s
Epoch  97/300 | D=-0.4508 G=-15.7607 SF=7.9227 | frob=4.0060 (best=3.5184) | 39.4s
Epoch  98/300 | D=-0.4594 G=-15.7050 SF=8.4607 | frob=3.7495 (best=3.5184) | 39.9s
Epoch  99/300 | D=-0.4506 G=-15.6713 SF=6.2580 | frob=3.9909 (best=3.5184) | 38.8s
Epoch 100/300 | D=-0.4576 G=-15.5602 SF=19.6578 | frob=3.4651 (best=3.5184) | 41.0s
Epoch 101/300 | D=-0.4612 G=-15.6448 SF=14.9547 | frob=3.7999 (best=3.4651) | 38.4s
Epoch 102/300 | D=-0.4626 G=-15.6844 SF=11.7420 | frob=3.8977 (best=3.4651) | 38.8s
Epoch 103/300 | D=-0.4587 G=-15.6988 SF=13.2292 | frob=3.6510 (best=3.4651) | 38.8s
Epoch 104/300 | D=-0.4530 G=-15.6013 SF=11.4272 | frob=3.7448 (best=3.4651) | 38.2s
Epoch 105/300 | D=-0.4470 G=-15.6430 SF=11.5270 | frob=3.7682 (best=3.4651) | 39.9s
Epoch 106/300 | D=-0.4535 G=-15.6754 SF=17.7509 | frob=3.8072 (best=3.4651) | 38.3s
Epoch 107/300 | D=-0.4628 G=-15.7123 SF=15.8459 | frob=3.9118 (best=3.4651) | 38.7s
Epoch 108/300 | D=-0.4612 G=-15.7882 SF=11.8072 | frob=3.7209 (best=3.4651) | 38.1s
Epoch 109/300 | D=-0.4558 G=-15.8200 SF=6.0315 | frob=3.4870 (best=3.4651) | 40.2s
Epoch 110/300 | D=-0.4516 G=-15.8414 SF=9.9789 | frob=3.5138 (best=3.4651) | 38.4s
Epoch 111/300 | D=-0.4519 G=-15.8207 SF=7.6898 | frob=3.6350 (best=3.4651) | 39.5s
Epoch 112/300 | D=-0.4590 G=-15.7810 SF=8.1940 | frob=3.5311 (best=3.4651) | 38.1s
Epoch 113/300 | D=-0.4558 G=-15.7047 SF=8.9029 | frob=3.5123 (best=3.4651) | 39.3s
Epoch 114/300 | D=-0.4552 G=-15.7269 SF=5.1119 | frob=3.5700 (best=3.4651) | 38.8s
Epoch 115/300 | D=-0.4540 G=-15.6679 SF=9.1630 | frob=3.7434 (best=3.4651) | 38.3s
Epoch 116/300 | D=-0.4620 G=-15.7179 SF=7.6920 | frob=3.4047 (best=3.4651) | 38.9s
Epoch 117/300 | D=-0.4558 G=-15.7231 SF=8.4350 | frob=3.6542 (best=3.4047) | 39.3s
Epoch 118/300 | D=-0.4561 G=-15.5530 SF=9.1372 | frob=3.4730 (best=3.4047) | 38.5s
Epoch 119/300 | D=-0.4579 G=-15.4529 SF=9.6922 | frob=3.9031 (best=3.4047) | 39.4s
Epoch 120/300 | D=-0.4617 G=-15.5140 SF=10.4652 | frob=3.5874 (best=3.4047) | 39.1s
Epoch 121/300 | D=-0.4555 G=-15.4569 SF=5.7656 | frob=3.5119 (best=3.4047) | 40.2s
Epoch 122/300 | D=-0.4606 G=-15.6282 SF=10.2153 | frob=3.5542 (best=3.4047) | 39.9s
Epoch 123/300 | D=-0.4604 G=-15.4654 SF=9.1573 | frob=3.7000 (best=3.4047) | 39.4s
Epoch 124/300 | D=-0.4501 G=-15.5848 SF=5.6236 | frob=3.2030 (best=3.4047) | 39.2s
Epoch 125/300 | D=-0.4564 G=-15.5685 SF=10.8481 | frob=3.5536 (best=3.2030) | 39.1s
Epoch 126/300 | D=-0.4590 G=-15.4286 SF=6.7216 | frob=3.6711 (best=3.2030) | 38.4s
Epoch 127/300 | D=-0.4430 G=-15.4063 SF=6.2766 | frob=3.8955 (best=3.2030) | 39.1s
Epoch 128/300 | D=-0.4487 G=-15.6318 SF=6.3804 | frob=3.7497 (best=3.2030) | 40.1s
Epoch 129/300 | D=-0.4600 G=-15.4966 SF=6.6412 | frob=3.5409 (best=3.2030) | 38.6s
Epoch 130/300 | D=-0.4482 G=-15.6668 SF=13.5446 | frob=3.3689 (best=3.2030) | 38.3s
