[sf_disc_aug] device=cuda, hidden=256, lr=0.0005
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  Train windows: 2890, Val: 3142
Training [sf_disc_aug] | T_L=252 | lr=0.0005
  G: 2,514,400 params
  D: 1,684,618 params
  SF disc aug: λ=0.5
----------------------------------------------------------------------
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:829: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:179.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/300 | D=2.9194 G=13.6521 SF=2.1863 | frob=15.7118 (best=inf) | 33.6s
Epoch   2/300 | D=1.0475 G=12.7699 SF=0.6249 | frob=15.6746 (best=15.7118) | 32.6s
Epoch   3/300 | D=0.8078 G=13.3845 SF=0.6302 | frob=15.7288 (best=15.6746) | 33.0s
Epoch   4/300 | D=0.5193 G=12.7777 SF=0.3694 | frob=13.4286 (best=15.6746) | 32.1s
Epoch   5/300 | D=0.4140 G=12.7071 SF=0.2963 | frob=13.8985 (best=13.4286) | 32.9s
Epoch   6/300 | D=0.4406 G=12.8146 SF=0.2725 | frob=12.4688 (best=13.4286) | 32.9s
Epoch   7/300 | D=0.3127 G=12.5374 SF=0.2034 | frob=11.9754 (best=12.4688) | 33.6s
Epoch   8/300 | D=0.2850 G=13.1900 SF=0.2030 | frob=10.7356 (best=11.9754) | 32.9s
Epoch   9/300 | D=0.2393 G=13.2199 SF=0.1683 | frob=11.4387 (best=10.7356) | 32.6s
Epoch  10/300 | D=0.2507 G=12.7362 SF=0.1749 | frob=11.0133 (best=10.7356) | 32.5s
Epoch  11/300 | D=0.1904 G=12.9340 SF=0.1505 | frob=10.6746 (best=10.7356) | 33.6s
Epoch  12/300 | D=0.2012 G=12.6286 SF=0.1506 | frob=9.5501 (best=10.6746) | 33.3s
Epoch  13/300 | D=0.1840 G=13.0313 SF=0.1365 | frob=10.2095 (best=9.5501) | 33.9s
Epoch  14/300 | D=0.1691 G=12.6275 SF=0.1068 | frob=9.6656 (best=9.5501) | 32.4s
Epoch  15/300 | D=0.1557 G=12.7514 SF=0.1007 | frob=10.4863 (best=9.5501) | 33.9s
Epoch  16/300 | D=0.1466 G=13.0559 SF=0.0981 | frob=9.0641 (best=9.5501) | 32.3s
Epoch  17/300 | D=0.1413 G=12.7855 SF=0.0990 | frob=8.8917 (best=9.0641) | 33.2s
