[macro_film] all (60 assets) | device=cuda | seed=123
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [macro_film] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
----------------------------------------------------------------------
Epoch   1/300 | D=2.1215 G=-3.7192 | frob=28.6670 (best=inf) | 35.1s
Epoch   2/300 | D=0.3573 G=-9.1170 | frob=23.9840 (best=28.6670) | 34.4s
Epoch   3/300 | D=0.2846 G=-13.7892 | frob=20.1398 (best=23.9840) | 33.8s
Epoch   4/300 | D=0.1897 G=-20.9697 | frob=22.6460 (best=20.1398) | 33.7s
Epoch   5/300 | D=0.1038 G=-27.2615 | frob=29.7796 (best=20.1398) | 33.5s
Epoch   6/300 | D=0.1007 G=-33.5757 | frob=20.0702 (best=20.1398) | 34.5s
Epoch   7/300 | D=0.0982 G=-38.5529 | frob=18.6368 (best=20.0702) | 33.7s
Epoch   8/300 | D=0.0801 G=-41.9008 | frob=15.4777 (best=18.6368) | 34.2s
Epoch   9/300 | D=0.0912 G=-47.8692 | frob=16.6624 (best=15.4777) | 33.5s
Epoch  10/300 | D=0.0707 G=-50.0841 | frob=13.7404 (best=15.4777) | 34.5s
Epoch  11/300 | D=0.0747 G=-52.6594 | frob=15.9983 (best=13.7404) | 34.3s
Epoch  12/300 | D=0.0689 G=-54.2335 | frob=15.7759 (best=13.7404) | 33.9s
Epoch  13/300 | D=0.0645 G=-54.9455 | frob=15.1511 (best=13.7404) | 33.4s
Epoch  14/300 | D=0.0651 G=-56.0378 | frob=15.9000 (best=13.7404) | 35.3s
Epoch  15/300 | D=0.0741 G=-57.4087 | frob=17.0570 (best=13.7404) | 34.6s
Epoch  16/300 | D=0.0351 G=-60.2686 | frob=14.1995 (best=13.7404) | 34.3s
Epoch  17/300 | D=0.0402 G=-63.3184 | frob=14.5379 (best=13.7404) | 34.3s
Epoch  18/300 | D=0.0432 G=-65.0108 | frob=13.6813 (best=13.7404) | 33.0s
Epoch  19/300 | D=0.0241 G=-67.5775 | frob=13.1862 (best=13.6813) | 33.3s
Epoch  20/300 | D=0.0256 G=-70.7113 | frob=13.0864 (best=13.1862) | 33.6s
Epoch  21/300 | D=0.0193 G=-73.7761 | frob=12.9324 (best=13.0864) | 34.7s
Epoch  22/300 | D=0.0221 G=-77.9733 | frob=13.7111 (best=12.9324) | 34.0s
Epoch  23/300 | D=0.0222 G=-81.5238 | frob=12.7667 (best=12.9324) | 33.5s
Epoch  24/300 | D=0.0151 G=-83.6839 | frob=13.2835 (best=12.7667) | 33.7s
Epoch  25/300 | D=0.0120 G=-85.7615 | frob=13.6334 (best=12.7667) | 33.6s
Epoch  26/300 | D=0.0163 G=-87.6114 | frob=14.1446 (best=12.7667) | 33.6s
Epoch  27/300 | D=0.0037 G=-90.7711 | frob=13.4504 (best=12.7667) | 33.6s
Epoch  28/300 | D=0.0016 G=-95.2451 | frob=11.9615 (best=12.7667) | 33.3s
Epoch  29/300 | D=0.0038 G=-99.0605 | frob=12.3431 (best=11.9615) | 33.3s
Epoch  30/300 | D=0.0063 G=-101.5268 | frob=11.7378 (best=11.9615) | 33.1s
Epoch  31/300 | D=0.0007 G=-102.2276 | frob=11.9356 (best=11.7378) | 34.1s
Epoch  32/300 | D=-0.0161 G=-104.7057 | frob=13.0462 (best=11.7378) | 33.7s
Epoch  33/300 | D=-0.0001 G=-107.5818 | frob=12.4121 (best=11.7378) | 34.3s
Epoch  34/300 | D=-0.0068 G=-103.4850 | frob=13.4273 (best=11.7378) | 34.0s
Epoch  35/300 | D=-0.0070 G=-109.6726 | frob=11.2846 (best=11.7378) | 34.2s
Epoch  36/300 | D=0.0008 G=-111.7939 | frob=11.4530 (best=11.2846) | 33.5s
Epoch  37/300 | D=0.0070 G=-112.5682 | frob=10.2094 (best=11.2846) | 34.2s
Epoch  38/300 | D=-0.0147 G=-110.6139 | frob=10.7209 (best=10.2094) | 34.1s
Epoch  39/300 | D=0.0094 G=-113.9323 | frob=10.5539 (best=10.2094) | 34.3s
Epoch  40/300 | D=-0.0096 G=-116.0910 | frob=9.8969 (best=10.2094) | 33.8s
Epoch  41/300 | D=-0.0190 G=-114.5578 | frob=11.1979 (best=9.8969) | 33.7s
Epoch  42/300 | D=-0.0100 G=-113.0259 | frob=10.1331 (best=9.8969) | 34.0s
Epoch  43/300 | D=-0.0300 G=-110.5465 | frob=10.0605 (best=9.8969) | 34.2s
Epoch  44/300 | D=-0.0184 G=-111.3423 | frob=9.5064 (best=9.8969) | 33.6s
Epoch  45/300 | D=-0.0349 G=-107.5016 | frob=8.2908 (best=9.5064) | 34.3s
Epoch  46/300 | D=-0.0374 G=-107.5121 | frob=8.5952 (best=8.2908) | 34.0s
Epoch  47/300 | D=-0.0291 G=-105.8595 | frob=8.0439 (best=8.2908) | 33.2s
Epoch  48/300 | D=-0.0418 G=-106.2225 | frob=7.5654 (best=8.0439) | 33.4s
Epoch  49/300 | D=-0.0430 G=-104.3519 | frob=7.5527 (best=7.5654) | 33.4s
Epoch  50/300 | D=-0.0656 G=-105.2291 | frob=7.4127 (best=7.5527) | 33.4s
Epoch  51/300 | D=-0.0694 G=-104.6327 | frob=7.0099 (best=7.4127) | 33.8s
Epoch  52/300 | D=-0.0667 G=-103.0586 | frob=7.0576 (best=7.0099) | 33.3s
Epoch  53/300 | D=-0.0675 G=-101.2063 | frob=7.4605 (best=7.0099) | 33.1s
Epoch  54/300 | D=-0.0725 G=-99.6760 | frob=6.7052 (best=7.0099) | 34.5s
Epoch  55/300 | D=-0.0640 G=-98.9861 | frob=6.2039 (best=6.7052) | 33.2s
Epoch  56/300 | D=-0.0709 G=-96.0668 | frob=6.0694 (best=6.2039) | 33.2s
Epoch  57/300 | D=-0.0766 G=-91.0857 | frob=6.0202 (best=6.0694) | 33.3s
Epoch  58/300 | D=-0.0952 G=-90.4446 | frob=5.5502 (best=6.0202) | 33.2s
Epoch  59/300 | D=-0.0924 G=-91.0023 | frob=5.2458 (best=5.5502) | 33.3s
Epoch  60/300 | D=-0.0841 G=-89.6016 | frob=5.2718 (best=5.2458) | 33.3s
Epoch  61/300 | D=-0.0897 G=-87.7283 | frob=5.2516 (best=5.2458) | 33.4s
Epoch  62/300 | D=-0.0756 G=-86.5483 | frob=5.2561 (best=5.2458) | 33.5s
Epoch  63/300 | D=-0.0992 G=-82.4199 | frob=4.9363 (best=5.2458) | 33.3s
Epoch  64/300 | D=-0.1027 G=-80.0327 | frob=5.0840 (best=4.9363) | 33.4s
Epoch  65/300 | D=-0.1127 G=-76.8563 | frob=5.6334 (best=4.9363) | 33.2s
Epoch  66/300 | D=-0.1073 G=-73.8391 | frob=5.4404 (best=4.9363) | 33.3s
Epoch  67/300 | D=-0.1168 G=-71.7419 | frob=4.9871 (best=4.9363) | 33.6s
Epoch  68/300 | D=-0.1263 G=-66.3714 | frob=4.6570 (best=4.9363) | 33.8s
Epoch  69/300 | D=-0.1284 G=-63.1350 | frob=4.5715 (best=4.6570) | 33.3s
Epoch  70/300 | D=-0.1411 G=-60.2426 | frob=4.5365 (best=4.5715) | 33.3s
Epoch  71/300 | D=-0.1497 G=-56.8456 | frob=4.5013 (best=4.5365) | 33.6s
Epoch  72/300 | D=-0.1543 G=-52.3348 | frob=4.6185 (best=4.5013) | 33.4s
Epoch  73/300 | D=-0.1556 G=-50.4288 | frob=4.7346 (best=4.5013) | 33.5s
Epoch  74/300 | D=-0.1537 G=-47.8734 | frob=4.2141 (best=4.5013) | 33.3s
Epoch  75/300 | D=-0.1726 G=-44.7207 | frob=4.2211 (best=4.2141) | 33.4s
Epoch  76/300 | D=-0.1722 G=-41.8086 | frob=4.3246 (best=4.2141) | 33.3s
Epoch  77/300 | D=-0.1830 G=-38.7125 | frob=4.2184 (best=4.2141) | 33.4s
Epoch  78/300 | D=-0.1948 G=-35.1818 | frob=4.0150 (best=4.2141) | 33.4s
Epoch  79/300 | D=-0.2009 G=-31.9125 | frob=3.9629 (best=4.0150) | 33.4s
Epoch  80/300 | D=-0.1993 G=-29.9218 | frob=4.0132 (best=3.9629) | 33.3s
Epoch  81/300 | D=-0.2139 G=-28.6914 | frob=4.0160 (best=3.9629) | 33.1s
Epoch  82/300 | D=-0.2183 G=-27.1773 | frob=3.7463 (best=3.9629) | 33.4s
Epoch  83/300 | D=-0.2265 G=-25.8350 | frob=3.8177 (best=3.7463) | 33.1s
Epoch  84/300 | D=-0.2336 G=-24.3351 | frob=3.8975 (best=3.7463) | 33.3s
Epoch  85/300 | D=-0.2419 G=-23.1878 | frob=4.1033 (best=3.7463) | 33.2s
Epoch  86/300 | D=-0.2630 G=-22.1725 | frob=3.6736 (best=3.7463) | 33.2s
Epoch  87/300 | D=-0.2744 G=-20.8839 | frob=3.9750 (best=3.6736) | 33.7s
Epoch  88/300 | D=-0.2821 G=-19.3558 | frob=3.8483 (best=3.6736) | 33.4s
Epoch  89/300 | D=-0.2984 G=-18.0438 | frob=3.8127 (best=3.6736) | 33.6s
Epoch  90/300 | D=-0.2930 G=-17.1231 | frob=3.8252 (best=3.6736) | 33.4s
Epoch  91/300 | D=-0.3159 G=-16.1598 | frob=3.6891 (best=3.6736) | 33.3s
Epoch  92/300 | D=-0.3265 G=-15.1322 | frob=3.6034 (best=3.6736) | 33.5s
Epoch  93/300 | D=-0.3416 G=-14.2962 | frob=3.3076 (best=3.6034) | 33.5s
Epoch  94/300 | D=-0.3561 G=-13.3633 | frob=3.3750 (best=3.3076) | 33.4s
Epoch  95/300 | D=-0.3655 G=-12.5153 | frob=3.2270 (best=3.3076) | 33.1s
Epoch  96/300 | D=-0.3747 G=-11.7381 | frob=3.2717 (best=3.2270) | 33.4s
Epoch  97/300 | D=-0.3947 G=-10.9945 | frob=3.3284 (best=3.2270) | 33.3s
Epoch  98/300 | D=-0.4037 G=-10.3955 | frob=3.3455 (best=3.2270) | 33.4s
Epoch  99/300 | D=-0.4115 G=-9.9703 | frob=3.3387 (best=3.2270) | 33.6s
Epoch 100/300 | D=-0.4217 G=-9.3523 | frob=3.3335 (best=3.2270) | 33.5s
Epoch 101/300 | D=-0.4407 G=-8.7610 | frob=3.1910 (best=3.2270) | 33.3s
Epoch 102/300 | D=-0.4553 G=-8.3529 | frob=3.4497 (best=3.1910) | 33.8s
Epoch 103/300 | D=-0.4660 G=-7.9051 | frob=3.3047 (best=3.1910) | 33.3s
Epoch 104/300 | D=-0.4759 G=-7.5932 | frob=3.2588 (best=3.1910) | 33.3s
Epoch 105/300 | D=-0.4930 G=-7.1862 | frob=3.3493 (best=3.1910) | 33.5s
Epoch 106/300 | D=-0.4987 G=-6.8392 | frob=3.3261 (best=3.1910) | 35.2s
Epoch 107/300 | D=-0.5060 G=-6.4553 | frob=3.2171 (best=3.1910) | 33.5s
Epoch 108/300 | D=-0.5253 G=-6.1629 | frob=3.3217 (best=3.1910) | 32.9s
Epoch 109/300 | D=-0.5244 G=-5.9233 | frob=3.3071 (best=3.1910) | 33.0s
Epoch 110/300 | D=-0.5416 G=-5.6380 | frob=3.1914 (best=3.1910) | 33.0s
Epoch 111/300 | D=-0.5453 G=-5.3531 | frob=3.3653 (best=3.1910) | 33.1s
Epoch 112/300 | D=-0.5550 G=-5.2581 | frob=3.2597 (best=3.1910) | 32.8s
Epoch 113/300 | D=-0.5667 G=-5.0042 | frob=3.0949 (best=3.1910) | 18.5s
Epoch 114/300 | D=-0.5653 G=-4.8241 | frob=3.0560 (best=3.0949) | 18.6s
Epoch 115/300 | D=-0.5758 G=-4.7420 | frob=3.1286 (best=3.0560) | 18.8s
Epoch 116/300 | D=-0.5806 G=-4.5342 | frob=3.2123 (best=3.0560) | 18.4s
Epoch 117/300 | D=-0.5865 G=-4.3597 | frob=3.1370 (best=3.0560) | 18.6s
Epoch 118/300 | D=-0.5916 G=-4.2777 | frob=3.1685 (best=3.0560) | 18.7s
Epoch 119/300 | D=-0.5968 G=-4.1746 | frob=2.9951 (best=3.0560) | 18.6s
Epoch 120/300 | D=-0.6008 G=-3.9992 | frob=3.1604 (best=2.9951) | 18.6s
Epoch 121/300 | D=-0.6064 G=-3.8998 | frob=3.1101 (best=2.9951) | 18.7s
Epoch 122/300 | D=-0.6058 G=-3.8487 | frob=3.0238 (best=2.9951) | 18.5s
Epoch 123/300 | D=-0.6087 G=-3.7858 | frob=3.0774 (best=2.9951) | 18.6s
Epoch 124/300 | D=-0.6078 G=-3.6996 | frob=2.9406 (best=2.9951) | 18.5s
Epoch 125/300 | D=-0.6110 G=-3.6509 | frob=2.8571 (best=2.9406) | 18.6s
Epoch 126/300 | D=-0.6125 G=-3.5594 | frob=2.8678 (best=2.8571) | 18.4s
Epoch 127/300 | D=-0.6134 G=-3.5104 | frob=2.8072 (best=2.8571) | 18.4s
Epoch 128/300 | D=-0.6101 G=-3.4411 | frob=2.8995 (best=2.8072) | 18.6s
Epoch 129/300 | D=-0.6162 G=-3.3986 | frob=2.8100 (best=2.8072) | 18.4s
Epoch 130/300 | D=-0.6116 G=-3.3856 | frob=2.8316 (best=2.8072) | 18.4s
Epoch 131/300 | D=-0.6049 G=-3.3286 | frob=2.7521 (best=2.8072) | 18.5s
Epoch 132/300 | D=-0.6120 G=-3.2433 | frob=2.7124 (best=2.7521) | 18.7s
Epoch 133/300 | D=-0.6117 G=-3.1806 | frob=2.6724 (best=2.7124) | 18.5s
Epoch 134/300 | D=-0.6066 G=-3.1479 | frob=2.6919 (best=2.6724) | 18.4s
Epoch 135/300 | D=-0.6085 G=-3.1191 | frob=2.7775 (best=2.6724) | 18.5s
Epoch 136/300 | D=-0.6059 G=-3.1018 | frob=2.7054 (best=2.6724) | 18.4s
Epoch 137/300 | D=-0.6074 G=-3.0786 | frob=2.5879 (best=2.6724) | 18.5s
Epoch 138/300 | D=-0.5995 G=-3.0064 | frob=2.6240 (best=2.5879) | 18.7s
Epoch 139/300 | D=-0.5999 G=-3.0136 | frob=2.5083 (best=2.5879) | 18.5s
Epoch 140/300 | D=-0.5985 G=-3.0062 | frob=2.5830 (best=2.5083) | 18.6s
Epoch 141/300 | D=-0.5938 G=-3.0193 | frob=2.5951 (best=2.5083) | 18.5s
Epoch 142/300 | D=-0.5934 G=-2.9974 | frob=2.5771 (best=2.5083) | 18.5s
Epoch 143/300 | D=-0.5920 G=-2.9542 | frob=2.6075 (best=2.5083) | 18.4s
Epoch 144/300 | D=-0.5877 G=-2.9335 | frob=2.4922 (best=2.5083) | 18.5s
Epoch 145/300 | D=-0.5851 G=-2.9176 | frob=2.5098 (best=2.4922) | 18.6s
Epoch 146/300 | D=-0.5823 G=-2.9229 | frob=2.5277 (best=2.4922) | 18.7s
Epoch 147/300 | D=-0.5775 G=-2.9078 | frob=2.4922 (best=2.4922) | 18.3s
Epoch 148/300 | D=-0.5766 G=-2.9073 | frob=2.5530 (best=2.4922) | 18.8s
Epoch 149/300 | D=-0.5728 G=-2.8939 | frob=2.4445 (best=2.4922) | 18.4s
Epoch 150/300 | D=-0.5699 G=-2.8630 | frob=2.4751 (best=2.4445) | 18.6s
Epoch 151/300 | D=-0.5662 G=-2.8505 | frob=2.5121 (best=2.4445) | 18.4s
Epoch 152/300 | D=-0.5671 G=-2.8635 | frob=2.6132 (best=2.4445) | 18.5s
Epoch 153/300 | D=-0.5623 G=-2.8513 | frob=2.4441 (best=2.4445) | 18.5s
Epoch 154/300 | D=-0.5564 G=-2.8477 | frob=2.4679 (best=2.4441) | 18.6s
Epoch 155/300 | D=-0.5558 G=-2.8221 | frob=2.5711 (best=2.4441) | 18.5s
Epoch 156/300 | D=-0.5531 G=-2.8227 | frob=2.5093 (best=2.4441) | 18.5s
Epoch 157/300 | D=-0.5468 G=-2.8253 | frob=2.5721 (best=2.4441) | 18.5s
Epoch 158/300 | D=-0.5436 G=-2.8104 | frob=2.5394 (best=2.4441) | 18.5s
Epoch 159/300 | D=-0.5426 G=-2.7933 | frob=2.5460 (best=2.4441) | 18.5s
Epoch 160/300 | D=-0.5389 G=-2.8109 | frob=2.6302 (best=2.4441) | 18.4s
Epoch 161/300 | D=-0.5334 G=-2.7852 | frob=2.5156 (best=2.4441) | 18.6s
Epoch 162/300 | D=-0.5327 G=-2.7738 | frob=2.4361 (best=2.4441) | 18.6s
Epoch 163/300 | D=-0.5295 G=-2.7576 | frob=2.6630 (best=2.4361) | 18.6s
Epoch 164/300 | D=-0.5271 G=-2.7778 | frob=2.4078 (best=2.4361) | 18.5s
Epoch 165/300 | D=-0.5267 G=-2.7622 | frob=2.5539 (best=2.4078) | 18.6s
Epoch 166/300 | D=-0.5174 G=-2.7606 | frob=2.5492 (best=2.4078) | 18.5s
Epoch 167/300 | D=-0.5172 G=-2.7572 | frob=2.5146 (best=2.4078) | 18.4s
Epoch 168/300 | D=-0.5154 G=-2.7366 | frob=2.5161 (best=2.4078) | 18.5s
Epoch 169/300 | D=-0.5117 G=-2.7309 | frob=2.5404 (best=2.4078) | 18.4s
Epoch 170/300 | D=-0.5086 G=-2.7243 | frob=2.6269 (best=2.4078) | 18.6s
Epoch 171/300 | D=-0.5058 G=-2.7299 | frob=2.5981 (best=2.4078) | 18.4s
Epoch 172/300 | D=-0.5055 G=-2.7120 | frob=2.5031 (best=2.4078) | 18.5s
Epoch 173/300 | D=-0.4994 G=-2.7094 | frob=2.4599 (best=2.4078) | 18.5s
Epoch 174/300 | D=-0.4996 G=-2.6893 | frob=2.6401 (best=2.4078) | 18.4s
Epoch 175/300 | D=-0.4937 G=-2.6951 | frob=2.5979 (best=2.4078) | 18.5s
Epoch 176/300 | D=-0.4924 G=-2.7040 | frob=2.6855 (best=2.4078) | 18.6s
Epoch 177/300 | D=-0.4873 G=-2.7136 | frob=2.7486 (best=2.4078) | 18.6s
Epoch 178/300 | D=-0.4866 G=-2.7088 | frob=2.8985 (best=2.4078) | 18.5s
Epoch 179/300 | D=-0.4890 G=-2.6827 | frob=2.7577 (best=2.4078) | 18.3s
Epoch 180/300 | D=-0.4790 G=-2.7004 | frob=2.7957 (best=2.4078) | 18.5s
