[macro_film] all (60 assets) | device=cuda | seed=7
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [macro_film] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
----------------------------------------------------------------------
Epoch   1/300 | D=3.6621 G=1.3247 | frob=24.3636 (best=inf) | 35.6s
Epoch   2/300 | D=0.3408 G=5.5598 | frob=21.3096 (best=24.3636) | 33.8s
Epoch   3/300 | D=0.1613 G=11.0571 | frob=26.4535 (best=21.3096) | 33.8s
Epoch   4/300 | D=0.1072 G=12.4223 | frob=25.2941 (best=21.3096) | 33.9s
Epoch   5/300 | D=0.0559 G=14.1444 | frob=21.5984 (best=21.3096) | 33.7s
Epoch   6/300 | D=0.0414 G=16.6901 | frob=17.1942 (best=21.3096) | 33.2s
Epoch   7/300 | D=0.0345 G=20.8151 | frob=13.0509 (best=17.1942) | 33.4s
Epoch   8/300 | D=0.0303 G=24.7765 | frob=12.6402 (best=13.0509) | 33.5s
Epoch   9/300 | D=0.0262 G=28.0639 | frob=11.9143 (best=12.6402) | 33.6s
Epoch  10/300 | D=0.0162 G=30.6584 | frob=12.1527 (best=11.9143) | 33.6s
Epoch  11/300 | D=0.0231 G=30.1004 | frob=11.9205 (best=11.9143) | 33.6s
Epoch  12/300 | D=0.0173 G=32.5230 | frob=13.3431 (best=11.9143) | 33.5s
Epoch  13/300 | D=0.0249 G=34.8648 | frob=13.1322 (best=11.9143) | 33.2s
Epoch  14/300 | D=0.0141 G=37.3597 | frob=13.5835 (best=11.9143) | 33.1s
Epoch  15/300 | D=0.0132 G=41.7407 | frob=12.5734 (best=11.9143) | 33.3s
