[sf_balanced] all (60 assets) | device=cuda | seed=42
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [sf_balanced] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
  SF: EMA gradient scaling (τ=0.3), warmup=30
----------------------------------------------------------------------
Epoch   1/300 | D=4.5393 G=-1.2932 | frob=26.0761 (best=inf) | 19.6s
Epoch   2/300 | D=0.2512 G=-10.2418 | frob=27.2690 (best=26.0761) | 18.5s
Epoch   3/300 | D=0.1951 G=-13.5677 | frob=28.2497 (best=26.0761) | 18.4s
Epoch   4/300 | D=0.1363 G=-21.0181 | frob=24.7169 (best=26.0761) | 18.6s
Epoch   5/300 | D=0.0869 G=-24.9478 | frob=23.5041 (best=24.7169) | 18.7s
Epoch   6/300 | D=0.0411 G=-24.7978 | frob=19.7968 (best=23.5041) | 18.4s
Epoch   7/300 | D=0.0569 G=-25.9037 | frob=16.7167 (best=19.7968) | 18.6s
Epoch   8/300 | D=0.0400 G=-28.0292 | frob=17.9843 (best=16.7167) | 18.4s
Epoch   9/300 | D=0.0239 G=-28.7432 | frob=14.4931 (best=16.7167) | 18.5s
Epoch  10/300 | D=0.0263 G=-29.0259 | frob=12.2428 (best=14.4931) | 18.3s
Epoch  11/300 | D=0.0192 G=-29.8296 | frob=13.7317 (best=12.2428) | 18.7s
Epoch  12/300 | D=0.0172 G=-32.7317 | frob=14.1999 (best=12.2428) | 18.5s
Epoch  13/300 | D=0.0234 G=-31.9573 | frob=13.7680 (best=12.2428) | 18.6s
Epoch  14/300 | D=0.0182 G=-33.0675 | frob=12.9540 (best=12.2428) | 18.5s
Epoch  15/300 | D=0.0171 G=-33.6456 | frob=12.7155 (best=12.2428) | 18.6s
Epoch  16/300 | D=0.0133 G=-33.5326 | frob=12.2434 (best=12.2428) | 18.6s
Epoch  17/300 | D=0.0121 G=-34.4180 | frob=11.6204 (best=12.2428) | 18.5s
Epoch  18/300 | D=0.0123 G=-33.4696 | frob=11.8154 (best=11.6204) | 18.6s
Epoch  19/300 | D=0.0140 G=-32.0050 | frob=12.3446 (best=11.6204) | 18.4s
Epoch  20/300 | D=0.0064 G=-32.9708 | frob=11.4328 (best=11.6204) | 18.5s
Epoch  21/300 | D=0.0104 G=-34.0966 | frob=11.0474 (best=11.4328) | 18.7s
Epoch  22/300 | D=0.0145 G=-32.5431 | frob=10.5069 (best=11.0474) | 18.7s
Epoch  23/300 | D=0.0021 G=-34.1683 | frob=10.6710 (best=10.5069) | 19.0s
Epoch  24/300 | D=0.0203 G=-35.7628 | frob=10.3461 (best=10.5069) | 18.5s
Epoch  25/300 | D=0.0123 G=-34.1932 | frob=10.5465 (best=10.3461) | 18.6s
Epoch  26/300 | D=0.0163 G=-34.5809 | frob=10.5412 (best=10.3461) | 18.5s
Epoch  27/300 | D=0.0162 G=-35.4467 | frob=10.5718 (best=10.3461) | 18.5s
Epoch  28/300 | D=0.0151 G=-34.8945 | frob=10.4333 (best=10.3461) | 18.5s
Epoch  29/300 | D=0.0053 G=-32.5193 | frob=10.8139 (best=10.3461) | 18.5s
Epoch  30/300 | D=0.0058 G=-31.5451 | frob=11.6989 (best=10.3461) | 18.5s
Epoch  31/300 | D=0.0094 G=-28.1996 SF=0.0290(s=10.00) | frob=10.6853 (best=10.3461) | 18.7s
Epoch  32/300 | D=0.0087 G=-28.9048 SF=0.0121(s=10.00) | frob=5.6130 (best=10.3461) | 18.6s
Epoch  33/300 | D=0.0053 G=-29.3915 SF=0.0064(s=10.00) | frob=4.7517 (best=5.6130) | 18.4s
Epoch  34/300 | D=0.0070 G=-28.5712 SF=0.0044(s=10.00) | frob=4.1242 (best=4.7517) | 18.6s
Epoch  35/300 | D=0.0029 G=-28.3193 SF=0.0034(s=10.00) | frob=3.8738 (best=4.1242) | 18.6s
Epoch  36/300 | D=0.0090 G=-27.4883 SF=0.0028(s=10.00) | frob=3.5030 (best=3.8738) | 18.5s
Epoch  37/300 | D=-0.0122 G=-28.7672 SF=0.0024(s=10.00) | frob=3.3411 (best=3.5030) | 18.6s
