[sf_balanced] all (60 assets) | device=cuda | seed=7
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [sf_balanced] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
  SF: EMA gradient scaling (τ=0.3), warmup=30
----------------------------------------------------------------------
Epoch   1/300 | D=3.3837 G=2.5747 | frob=23.8490 (best=inf) | 34.9s
Epoch   2/300 | D=0.3730 G=9.0443 | frob=22.3108 (best=23.8490) | 34.1s
Epoch   3/300 | D=0.1540 G=15.5457 | frob=23.8792 (best=22.3108) | 33.7s
Epoch   4/300 | D=0.1129 G=17.9741 | frob=22.4486 (best=22.3108) | 33.8s
Epoch   5/300 | D=0.0602 G=20.6284 | frob=19.1704 (best=22.3108) | 33.3s
Epoch   6/300 | D=0.0441 G=23.3277 | frob=15.3576 (best=19.1704) | 33.3s
Epoch   7/300 | D=0.0374 G=26.1385 | frob=14.4084 (best=15.3576) | 33.3s
Epoch   8/300 | D=0.0300 G=28.6140 | frob=14.6346 (best=14.4084) | 33.5s
Epoch   9/300 | D=0.0269 G=30.9704 | frob=12.4760 (best=14.4084) | 33.9s
Epoch  10/300 | D=0.0194 G=33.0962 | frob=13.7414 (best=12.4760) | 33.6s
Epoch  11/300 | D=0.0244 G=33.4545 | frob=14.1600 (best=12.4760) | 33.4s
Epoch  12/300 | D=0.0196 G=35.4534 | frob=13.6654 (best=12.4760) | 33.4s
Epoch  13/300 | D=0.0234 G=38.0541 | frob=14.3620 (best=12.4760) | 33.1s
Epoch  14/300 | D=0.0134 G=41.2744 | frob=14.2281 (best=12.4760) | 33.2s
Epoch  15/300 | D=0.0145 G=45.4679 | frob=14.3224 (best=12.4760) | 33.2s
Epoch  16/300 | D=0.0179 G=47.6285 | frob=13.4505 (best=12.4760) | 33.4s
Epoch  17/300 | D=0.0147 G=49.8147 | frob=13.2419 (best=12.4760) | 33.4s
Epoch  18/300 | D=0.0194 G=50.4708 | frob=13.4970 (best=12.4760) | 33.3s
Epoch  19/300 | D=0.0089 G=51.3151 | frob=14.4782 (best=12.4760) | 33.5s
Epoch  20/300 | D=0.0043 G=54.5245 | frob=15.9493 (best=12.4760) | 33.4s
Epoch  21/300 | D=-0.0024 G=59.1964 | frob=13.8543 (best=12.4760) | 33.4s
Epoch  22/300 | D=0.0163 G=61.6110 | frob=12.8059 (best=12.4760) | 33.4s
Epoch  23/300 | D=0.0093 G=64.4607 | frob=12.1075 (best=12.4760) | 33.2s
Epoch  24/300 | D=0.0183 G=67.6009 | frob=10.7263 (best=12.1075) | 33.3s
Epoch  25/300 | D=-0.0030 G=65.7670 | frob=10.9308 (best=10.7263) | 33.4s
Epoch  26/300 | D=0.0114 G=67.8563 | frob=10.6128 (best=10.7263) | 33.4s
Epoch  27/300 | D=0.0014 G=67.9495 | frob=10.6540 (best=10.6128) | 33.5s
Epoch  28/300 | D=0.0038 G=70.2679 | frob=11.3004 (best=10.6128) | 33.4s
Epoch  29/300 | D=0.0024 G=70.9899 | frob=12.4503 (best=10.6128) | 33.2s
Epoch  30/300 | D=0.0032 G=70.0148 | frob=11.8262 (best=10.6128) | 33.5s
Epoch  31/300 | D=0.0096 G=71.6339 SF=0.0308(s=10.00) | frob=11.7163 (best=10.6128) | 33.8s
Epoch  32/300 | D=0.0146 G=72.8173 SF=0.0130(s=10.00) | frob=6.3056 (best=10.6128) | 34.0s
Epoch  33/300 | D=-0.0004 G=75.2590 SF=0.0065(s=10.00) | frob=4.8537 (best=6.3056) | 34.1s
Epoch  34/300 | D=-0.0063 G=78.7568 SF=0.0046(s=10.00) | frob=4.2717 (best=4.8537) | 34.2s
