[macro_film] commodities (20 assets) | device=cuda | seed=42
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=20, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=20, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [macro_film] | T_L=252 | lr=0.0005
  G: 2,564,000 params
  D: 1,789,185 params
----------------------------------------------------------------------
Epoch   1/300 | D=2.7657 G=0.6410 | frob=11.5050 (best=inf) | 48.0s
Epoch   2/300 | D=0.7249 G=4.7280 | frob=10.2664 (best=11.5050) | 48.1s
Epoch   3/300 | D=0.2253 G=10.9044 | frob=9.8351 (best=10.2664) | 48.1s
Epoch   4/300 | D=0.3375 G=16.7544 | frob=6.7441 (best=9.8351) | 48.3s
Epoch   5/300 | D=0.6394 G=21.8680 | frob=5.4126 (best=6.7441) | 48.3s
Epoch   6/300 | D=0.2748 G=29.4058 | frob=10.1366 (best=5.4126) | 48.3s
Epoch   7/300 | D=0.1781 G=29.2101 | frob=8.4616 (best=5.4126) | 48.3s
Epoch   8/300 | D=0.1895 G=28.3206 | frob=9.3165 (best=5.4126) | 48.3s
Epoch   9/300 | D=0.1517 G=27.4419 | frob=6.9171 (best=5.4126) | 48.2s
Epoch  10/300 | D=0.1423 G=27.4606 | frob=7.7504 (best=5.4126) | 48.3s
Epoch  11/300 | D=0.1200 G=27.2912 | frob=7.1871 (best=5.4126) | 48.2s
Epoch  12/300 | D=0.1106 G=26.6846 | frob=6.0935 (best=5.4126) | 48.3s
Epoch  13/300 | D=0.1008 G=26.7426 | frob=5.6304 (best=5.4126) | 48.3s
Epoch  14/300 | D=0.0751 G=28.4542 | frob=3.9746 (best=5.4126) | 48.2s
Epoch  15/300 | D=0.0910 G=27.9948 | frob=4.1300 (best=3.9746) | 48.2s
Epoch  16/300 | D=0.0899 G=28.9315 | frob=4.3988 (best=3.9746) | 48.3s
Epoch  17/300 | D=0.0859 G=31.3554 | frob=4.8003 (best=3.9746) | 48.3s
Epoch  18/300 | D=0.0766 G=32.5015 | frob=5.1220 (best=3.9746) | 48.3s
Epoch  19/300 | D=0.0691 G=32.4521 | frob=4.6329 (best=3.9746) | 48.2s
Epoch  20/300 | D=0.0592 G=34.8581 | frob=3.7507 (best=3.9746) | 48.3s
Epoch  21/300 | D=0.0591 G=35.2084 | frob=4.8141 (best=3.7507) | 48.3s
Epoch  22/300 | D=0.0558 G=36.8378 | frob=5.0908 (best=3.7507) | 48.3s
Epoch  23/300 | D=0.0644 G=37.7425 | frob=4.0739 (best=3.7507) | 48.1s
Epoch  24/300 | D=0.0554 G=37.4914 | frob=4.7795 (best=3.7507) | 48.3s
Epoch  25/300 | D=0.0496 G=37.5705 | frob=4.4766 (best=3.7507) | 48.3s
Epoch  26/300 | D=0.0530 G=38.2664 | frob=4.1093 (best=3.7507) | 48.4s
Epoch  27/300 | D=0.0554 G=39.4260 | frob=4.3341 (best=3.7507) | 48.3s
Epoch  28/300 | D=0.0572 G=39.6046 | frob=4.7696 (best=3.7507) | 48.3s
Epoch  29/300 | D=0.0557 G=42.0090 | frob=5.3461 (best=3.7507) | 48.3s
Epoch  30/300 | D=0.0464 G=43.8105 | frob=6.0540 (best=3.7507) | 48.3s
Epoch  31/300 | D=0.0459 G=45.2189 | frob=6.5084 (best=3.7507) | 48.3s
Epoch  32/300 | D=0.0374 G=47.0870 | frob=7.5719 (best=3.7507) | 48.3s
Epoch  33/300 | D=0.0378 G=47.1398 | frob=5.2561 (best=3.7507) | 48.3s
Epoch  34/300 | D=0.0342 G=46.9978 | frob=5.8255 (best=3.7507) | 48.3s
Epoch  35/300 | D=0.0335 G=47.8653 | frob=4.6536 (best=3.7507) | 48.3s
Epoch  36/300 | D=0.0286 G=49.5767 | frob=4.8064 (best=3.7507) | 48.3s
Epoch  37/300 | D=0.0320 G=49.0254 | frob=6.0622 (best=3.7507) | 48.3s
Epoch  38/300 | D=0.0315 G=49.4364 | frob=4.7864 (best=3.7507) | 48.3s
Epoch  39/300 | D=0.0244 G=50.4711 | frob=5.3793 (best=3.7507) | 48.3s
Epoch  40/300 | D=0.0237 G=49.0995 | frob=4.7850 (best=3.7507) | 48.2s
Epoch  41/300 | D=0.0293 G=46.1427 | frob=4.5705 (best=3.7507) | 48.3s
Epoch  42/300 | D=0.0195 G=46.5348 | frob=3.6507 (best=3.7507) | 48.3s
Epoch  43/300 | D=0.0209 G=46.4664 | frob=3.3770 (best=3.6507) | 48.3s
Epoch  44/300 | D=0.0162 G=46.4831 | frob=3.5591 (best=3.3770) | 48.3s
Epoch  45/300 | D=0.0224 G=46.1386 | frob=3.5403 (best=3.3770) | 48.3s
Epoch  46/300 | D=0.0193 G=47.9595 | frob=3.6538 (best=3.3770) | 48.2s
Epoch  47/300 | D=0.0074 G=48.5112 | frob=3.8980 (best=3.3770) | 48.2s
Epoch  48/300 | D=0.0174 G=49.1065 | frob=3.9321 (best=3.3770) | 48.2s
Epoch  49/300 | D=0.0241 G=47.7511 | frob=3.8024 (best=3.3770) | 48.3s
Epoch  50/300 | D=0.0224 G=47.3815 | frob=3.4444 (best=3.3770) | 48.2s
Epoch  51/300 | D=0.0074 G=47.2897 | frob=3.4759 (best=3.3770) | 48.3s
Epoch  52/300 | D=0.0160 G=46.4112 | frob=3.4043 (best=3.3770) | 48.3s
Epoch  53/300 | D=0.0165 G=48.4203 | frob=3.3707 (best=3.3770) | 48.2s
Epoch  54/300 | D=0.0118 G=49.9650 | frob=3.3503 (best=3.3707) | 48.2s
Epoch  55/300 | D=0.0231 G=50.7669 | frob=3.2123 (best=3.3503) | 48.3s
Epoch  56/300 | D=0.0178 G=52.3986 | frob=3.3548 (best=3.2123) | 48.3s
Epoch  57/300 | D=0.0199 G=52.7757 | frob=3.2217 (best=3.2123) | 48.2s
Epoch  58/300 | D=0.0156 G=53.3777 | frob=4.1584 (best=3.2123) | 48.3s
Epoch  59/300 | D=0.0146 G=55.5458 | frob=3.9041 (best=3.2123) | 48.2s
Epoch  60/300 | D=0.0182 G=57.9425 | frob=3.6410 (best=3.2123) | 48.3s
Epoch  61/300 | D=0.0042 G=57.5092 | frob=3.1935 (best=3.2123) | 48.2s
Epoch  62/300 | D=0.0077 G=60.0074 | frob=3.3177 (best=3.1935) | 48.2s
Epoch  63/300 | D=0.0019 G=59.3479 | frob=3.5910 (best=3.1935) | 48.2s
Epoch  64/300 | D=0.0159 G=58.2841 | frob=4.9579 (best=3.1935) | 48.3s
Epoch  65/300 | D=0.0213 G=58.5863 | frob=4.6482 (best=3.1935) | 48.1s
Epoch  66/300 | D=0.0105 G=56.7405 | frob=3.4981 (best=3.1935) | 48.3s
Epoch  67/300 | D=0.0174 G=54.4882 | frob=3.7962 (best=3.1935) | 48.3s
Epoch  68/300 | D=0.0170 G=55.5711 | frob=3.2549 (best=3.1935) | 48.4s
Epoch  69/300 | D=0.0071 G=58.1836 | frob=3.2271 (best=3.1935) | 48.3s
Epoch  70/300 | D=0.0156 G=58.5713 | frob=3.6474 (best=3.1935) | 48.3s
Epoch  71/300 | D=0.0201 G=56.8479 | frob=3.1817 (best=3.1935) | 48.2s
Epoch  72/300 | D=-0.0011 G=57.3936 | frob=2.6899 (best=3.1817) | 48.3s
Epoch  73/300 | D=0.0192 G=57.2798 | frob=3.5674 (best=2.6899) | 48.3s
Epoch  74/300 | D=0.0148 G=55.8636 | frob=3.3636 (best=2.6899) | 48.3s
Epoch  75/300 | D=0.0123 G=55.3202 | frob=3.1106 (best=2.6899) | 33.5s
Epoch  76/300 | D=0.0076 G=52.2371 | frob=2.8124 (best=2.6899) | 32.1s
Epoch  77/300 | D=0.0192 G=49.8889 | frob=2.7438 (best=2.6899) | 32.1s
Epoch  78/300 | D=0.0064 G=45.6244 | frob=2.2999 (best=2.6899) | 32.1s
Epoch  79/300 | D=0.0099 G=45.7235 | frob=2.1627 (best=2.2999) | 32.1s
Epoch  80/300 | D=0.0089 G=44.0953 | frob=2.2462 (best=2.1627) | 32.1s
Epoch  81/300 | D=0.0147 G=42.2713 | frob=2.2853 (best=2.1627) | 32.1s
Epoch  82/300 | D=0.0128 G=40.8791 | frob=2.4645 (best=2.1627) | 32.2s
Epoch  83/300 | D=0.0039 G=41.7756 | frob=2.3149 (best=2.1627) | 32.2s
Epoch  84/300 | D=0.0096 G=41.6407 | frob=2.4994 (best=2.1627) | 32.2s
Epoch  85/300 | D=0.0001 G=41.6201 | frob=2.4586 (best=2.1627) | 32.2s
Epoch  86/300 | D=-0.0022 G=42.3302 | frob=2.3387 (best=2.1627) | 32.1s
Epoch  87/300 | D=0.0143 G=41.9192 | frob=2.2250 (best=2.1627) | 32.2s
Epoch  88/300 | D=0.0183 G=44.0068 | frob=2.2452 (best=2.1627) | 32.2s
Epoch  89/300 | D=0.0140 G=43.6708 | frob=2.1818 (best=2.1627) | 32.2s
Epoch  90/300 | D=0.0107 G=43.5588 | frob=2.1861 (best=2.1627) | 32.1s
Epoch  91/300 | D=0.0060 G=45.0321 | frob=2.1071 (best=2.1627) | 32.1s
Epoch  92/300 | D=-0.0078 G=45.0237 | frob=2.0975 (best=2.1071) | 32.2s
Epoch  93/300 | D=0.0081 G=45.3776 | frob=1.8229 (best=2.0975) | 32.2s
Epoch  94/300 | D=0.0192 G=45.0615 | frob=1.8409 (best=1.8229) | 32.2s
Epoch  95/300 | D=0.0093 G=41.0978 | frob=1.7713 (best=1.8229) | 32.2s
Epoch  96/300 | D=-0.0002 G=39.5064 | frob=1.5986 (best=1.7713) | 32.1s
Epoch  97/300 | D=-0.0034 G=39.7562 | frob=1.7759 (best=1.5986) | 32.2s
Epoch  98/300 | D=-0.0016 G=38.4472 | frob=1.9727 (best=1.5986) | 32.2s
Epoch  99/300 | D=0.0074 G=38.4199 | frob=2.0153 (best=1.5986) | 32.2s
Epoch 100/300 | D=0.0245 G=37.4554 | frob=1.9131 (best=1.5986) | 32.2s
Epoch 101/300 | D=0.0058 G=39.1472 | frob=1.9424 (best=1.5986) | 32.2s
Epoch 102/300 | D=0.0072 G=38.1242 | frob=1.9703 (best=1.5986) | 32.2s
Epoch 103/300 | D=0.0157 G=37.6165 | frob=1.9540 (best=1.5986) | 32.0s
Epoch 104/300 | D=0.0197 G=36.0062 | frob=1.7393 (best=1.5986) | 32.1s
Epoch 105/300 | D=-0.0006 G=36.3988 | frob=1.7942 (best=1.5986) | 32.2s
Epoch 106/300 | D=0.0207 G=36.0041 | frob=1.7089 (best=1.5986) | 32.2s
Epoch 107/300 | D=-0.0079 G=34.3653 | frob=1.6484 (best=1.5986) | 32.0s
Epoch 108/300 | D=-0.0021 G=35.0577 | frob=1.7335 (best=1.5986) | 32.2s
Epoch 109/300 | D=0.0186 G=38.0383 | frob=1.6223 (best=1.5986) | 32.1s
Epoch 110/300 | D=0.0061 G=39.1471 | frob=1.4920 (best=1.5986) | 32.3s
Epoch 111/300 | D=-0.0128 G=39.4164 | frob=1.5884 (best=1.4920) | 32.2s
Epoch 112/300 | D=0.0097 G=37.7936 | frob=1.4502 (best=1.4920) | 32.2s
Epoch 113/300 | D=0.0065 G=38.3787 | frob=1.4641 (best=1.4502) | 32.2s
Epoch 114/300 | D=0.0141 G=37.1207 | frob=1.4434 (best=1.4502) | 32.2s
Epoch 115/300 | D=0.0174 G=36.5266 | frob=1.3874 (best=1.4434) | 32.2s
Epoch 116/300 | D=-0.0056 G=37.5850 | frob=1.4103 (best=1.3874) | 32.2s
Epoch 117/300 | D=0.0072 G=39.2380 | frob=1.3485 (best=1.3874) | 32.2s
Epoch 118/300 | D=-0.0078 G=39.3427 | frob=1.4729 (best=1.3485) | 32.2s
Epoch 119/300 | D=-0.0028 G=38.3828 | frob=1.4139 (best=1.3485) | 32.1s
Epoch 120/300 | D=0.0021 G=39.0663 | frob=1.4607 (best=1.3485) | 32.2s
Epoch 121/300 | D=-0.0134 G=38.8347 | frob=1.5513 (best=1.3485) | 32.2s
Epoch 122/300 | D=-0.0146 G=36.4592 | frob=1.4616 (best=1.3485) | 32.2s
Epoch 123/300 | D=-0.0034 G=35.2605 | frob=1.2507 (best=1.3485) | 32.2s
Epoch 124/300 | D=-0.0008 G=36.1670 | frob=1.5730 (best=1.2507) | 32.1s
Epoch 125/300 | D=-0.0008 G=37.4001 | frob=1.3622 (best=1.2507) | 32.1s
