[macro_film] stocks (20 assets) | device=cuda | seed=42
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=20, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=20, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [macro_film] | T_L=252 | lr=0.0005
  G: 2,564,000 params
  D: 1,789,185 params
----------------------------------------------------------------------
Epoch   1/300 | D=3.6162 G=7.6728 | frob=10.5996 (best=inf) | 48.9s
Epoch   2/300 | D=0.7761 G=14.2479 | frob=10.9167 (best=10.5996) | 48.3s
Epoch   3/300 | D=0.3895 G=1.4015 | frob=10.4173 (best=10.5996) | 48.4s
Epoch   4/300 | D=0.2683 G=-7.7754 | frob=5.3025 (best=10.4173) | 48.4s
Epoch   5/300 | D=0.1955 G=-8.5871 | frob=6.4110 (best=5.3025) | 48.4s
Epoch   6/300 | D=0.1400 G=-6.3525 | frob=4.4773 (best=5.3025) | 48.3s
Epoch   7/300 | D=0.1083 G=-6.7618 | frob=5.1415 (best=4.4773) | 48.4s
Epoch   8/300 | D=0.0833 G=-5.9606 | frob=3.6906 (best=4.4773) | 48.5s
Epoch   9/300 | D=0.0792 G=-3.9847 | frob=3.8546 (best=3.6906) | 48.4s
Epoch  10/300 | D=0.0739 G=-2.5618 | frob=3.1895 (best=3.6906) | 48.4s
Epoch  11/300 | D=0.0725 G=-4.1412 | frob=3.5735 (best=3.1895) | 48.4s
Epoch  12/300 | D=0.0569 G=-4.6351 | frob=3.7003 (best=3.1895) | 48.5s
Epoch  13/300 | D=0.0505 G=-3.5214 | frob=3.9876 (best=3.1895) | 48.5s
Epoch  14/300 | D=0.0511 G=-1.8718 | frob=4.4005 (best=3.1895) | 48.3s
Epoch  15/300 | D=0.0454 G=-4.1147 | frob=5.6222 (best=3.1895) | 48.3s
Epoch  16/300 | D=0.0444 G=-5.4642 | frob=5.1812 (best=3.1895) | 48.3s
Epoch  17/300 | D=0.0484 G=-7.8716 | frob=4.8255 (best=3.1895) | 48.3s
Epoch  18/300 | D=0.0515 G=-7.8614 | frob=4.9475 (best=3.1895) | 48.3s
Epoch  19/300 | D=0.0371 G=-8.8171 | frob=5.4030 (best=3.1895) | 48.3s
Epoch  20/300 | D=0.0375 G=-9.0414 | frob=5.3546 (best=3.1895) | 48.3s
Epoch  21/300 | D=0.0487 G=-9.5804 | frob=5.1861 (best=3.1895) | 48.3s
Epoch  22/300 | D=0.0412 G=-10.3666 | frob=5.0017 (best=3.1895) | 48.3s
Epoch  23/300 | D=0.0516 G=-11.2106 | frob=4.6644 (best=3.1895) | 48.4s
Epoch  24/300 | D=0.0375 G=-9.8812 | frob=4.4240 (best=3.1895) | 48.3s
Epoch  25/300 | D=0.0520 G=-10.1287 | frob=4.5732 (best=3.1895) | 48.2s
Epoch  26/300 | D=0.0495 G=-8.6904 | frob=4.7112 (best=3.1895) | 48.3s
Epoch  27/300 | D=0.0446 G=-8.5145 | frob=4.8662 (best=3.1895) | 48.3s
Epoch  28/300 | D=0.0494 G=-7.2666 | frob=4.0207 (best=3.1895) | 48.3s
Epoch  29/300 | D=0.0282 G=-5.4772 | frob=4.9094 (best=3.1895) | 48.2s
Epoch  30/300 | D=0.0276 G=-5.4989 | frob=5.3192 (best=3.1895) | 48.3s
Epoch  31/300 | D=0.0351 G=-6.0316 | frob=4.7999 (best=3.1895) | 48.3s
Epoch  32/300 | D=0.0361 G=-5.9400 | frob=4.5098 (best=3.1895) | 48.3s
Epoch  33/300 | D=0.0324 G=-5.8443 | frob=4.1214 (best=3.1895) | 48.3s
Epoch  34/300 | D=0.0241 G=-4.9468 | frob=4.3742 (best=3.1895) | 48.3s
Epoch  35/300 | D=0.0234 G=-5.0201 | frob=3.5659 (best=3.1895) | 48.3s
Epoch  36/300 | D=0.0187 G=-4.9728 | frob=4.0280 (best=3.1895) | 48.3s
Epoch  37/300 | D=0.0260 G=-6.0462 | frob=3.6282 (best=3.1895) | 48.4s
Epoch  38/300 | D=0.0259 G=-4.7461 | frob=3.8654 (best=3.1895) | 48.4s
Epoch  39/300 | D=0.0242 G=-4.5949 | frob=3.1585 (best=3.1895) | 48.4s
Epoch  40/300 | D=0.0264 G=-6.5631 | frob=3.0119 (best=3.1585) | 48.5s
Epoch  41/300 | D=0.0257 G=-6.5418 | frob=3.7513 (best=3.0119) | 48.4s
Epoch  42/300 | D=0.0275 G=-6.5830 | frob=2.9423 (best=3.0119) | 48.3s
Epoch  43/300 | D=0.0188 G=-4.2869 | frob=2.7795 (best=2.9423) | 48.3s
Epoch  44/300 | D=0.0204 G=-3.8018 | frob=3.9718 (best=2.7795) | 48.3s
Epoch  45/300 | D=0.0295 G=-3.9412 | frob=3.2123 (best=2.7795) | 48.3s
Epoch  46/300 | D=0.0168 G=-2.8555 | frob=3.3004 (best=2.7795) | 48.3s
Epoch  47/300 | D=0.0221 G=-2.3575 | frob=3.1882 (best=2.7795) | 48.3s
Epoch  48/300 | D=0.0004 G=-2.8251 | frob=3.2047 (best=2.7795) | 48.3s
Epoch  49/300 | D=0.0235 G=-3.3186 | frob=3.3681 (best=2.7795) | 48.3s
Epoch  50/300 | D=0.0293 G=-3.5367 | frob=2.8136 (best=2.7795) | 48.3s
Epoch  51/300 | D=0.0160 G=-3.6268 | frob=2.9952 (best=2.7795) | 48.4s
Epoch  52/300 | D=0.0284 G=-3.7218 | frob=2.7074 (best=2.7795) | 48.4s
Epoch  53/300 | D=0.0154 G=-4.2042 | frob=2.5555 (best=2.7074) | 48.3s
Epoch  54/300 | D=0.0139 G=-4.2399 | frob=2.5990 (best=2.5555) | 48.3s
Epoch  55/300 | D=0.0110 G=-4.3633 | frob=2.7332 (best=2.5555) | 48.3s
Epoch  56/300 | D=0.0112 G=-4.7432 | frob=2.3599 (best=2.5555) | 48.3s
Epoch  57/300 | D=0.0165 G=-5.2104 | frob=2.4815 (best=2.3599) | 48.3s
Epoch  58/300 | D=0.0173 G=-5.6624 | frob=2.0258 (best=2.3599) | 48.3s
Epoch  59/300 | D=0.0077 G=-5.7473 | frob=2.3903 (best=2.0258) | 48.4s
Epoch  60/300 | D=0.0075 G=-5.4628 | frob=2.5285 (best=2.0258) | 48.3s
Epoch  61/300 | D=-0.0025 G=-5.6498 | frob=1.8806 (best=2.0258) | 48.3s
Epoch  62/300 | D=0.0114 G=-6.7185 | frob=2.0762 (best=1.8806) | 48.3s
Epoch  63/300 | D=0.0005 G=-7.0614 | frob=2.1743 (best=1.8806) | 48.4s
Epoch  64/300 | D=0.0088 G=-8.5475 | frob=1.9451 (best=1.8806) | 48.4s
Epoch  65/300 | D=0.0004 G=-9.4076 | frob=1.9984 (best=1.8806) | 48.3s
Epoch  66/300 | D=-0.0066 G=-10.0900 | frob=1.8312 (best=1.8806) | 48.3s
Epoch  67/300 | D=0.0089 G=-11.5751 | frob=2.0985 (best=1.8312) | 48.3s
Epoch  68/300 | D=0.0123 G=-12.1816 | frob=1.9711 (best=1.8312) | 48.3s
Epoch  69/300 | D=-0.0046 G=-12.1384 | frob=1.8388 (best=1.8312) | 48.3s
Epoch  70/300 | D=0.0065 G=-12.4533 | frob=1.6835 (best=1.8312) | 48.3s
Epoch  71/300 | D=0.0187 G=-12.4282 | frob=1.7297 (best=1.6835) | 48.4s
Epoch  72/300 | D=-0.0021 G=-12.7917 | frob=1.6735 (best=1.6835) | 48.3s
Epoch  73/300 | D=0.0049 G=-13.1024 | frob=1.7832 (best=1.6735) | 48.4s
Epoch  74/300 | D=-0.0114 G=-13.6490 | frob=1.8594 (best=1.6735) | 47.4s
Epoch  75/300 | D=-0.0073 G=-14.5256 | frob=1.6430 (best=1.6735) | 32.1s
Epoch  76/300 | D=0.0073 G=-14.6791 | frob=1.5654 (best=1.6430) | 32.1s
Epoch  77/300 | D=0.0014 G=-15.5587 | frob=1.5096 (best=1.5654) | 32.1s
Epoch  78/300 | D=-0.0059 G=-15.3600 | frob=1.4571 (best=1.5096) | 32.1s
Epoch  79/300 | D=0.0032 G=-14.9560 | frob=1.3372 (best=1.4571) | 32.1s
Epoch  80/300 | D=-0.0044 G=-15.1656 | frob=1.2755 (best=1.3372) | 32.2s
Epoch  81/300 | D=-0.0052 G=-15.1263 | frob=1.3210 (best=1.2755) | 32.1s
Epoch  82/300 | D=-0.0025 G=-16.4389 | frob=1.3075 (best=1.2755) | 32.1s
Epoch  83/300 | D=-0.0059 G=-16.9178 | frob=1.3592 (best=1.2755) | 32.2s
Epoch  84/300 | D=-0.0061 G=-16.4598 | frob=1.3088 (best=1.2755) | 32.1s
Epoch  85/300 | D=-0.0056 G=-15.1242 | frob=1.2608 (best=1.2755) | 32.1s
Epoch  86/300 | D=-0.0006 G=-15.3943 | frob=1.3335 (best=1.2608) | 32.1s
Epoch  87/300 | D=-0.0105 G=-16.1025 | frob=1.4824 (best=1.2608) | 32.1s
Epoch  88/300 | D=-0.0004 G=-15.3768 | frob=1.3437 (best=1.2608) | 32.1s
Epoch  89/300 | D=-0.0015 G=-14.6252 | frob=1.2065 (best=1.2608) | 32.1s
Epoch  90/300 | D=-0.0015 G=-14.1747 | frob=1.1248 (best=1.2065) | 32.1s
Epoch  91/300 | D=-0.0155 G=-13.6487 | frob=1.3125 (best=1.1248) | 32.1s
Epoch  92/300 | D=-0.0196 G=-13.7220 | frob=1.2116 (best=1.1248) | 32.1s
Epoch  93/300 | D=-0.0089 G=-13.1363 | frob=1.6127 (best=1.1248) | 32.1s
Epoch  94/300 | D=-0.0064 G=-12.3231 | frob=1.1510 (best=1.1248) | 32.2s
Epoch  95/300 | D=-0.0099 G=-12.8012 | frob=1.0712 (best=1.1248) | 32.2s
Epoch  96/300 | D=-0.0102 G=-12.6488 | frob=1.3876 (best=1.0712) | 32.2s
Epoch  97/300 | D=-0.0155 G=-12.2916 | frob=1.1268 (best=1.0712) | 32.2s
Epoch  98/300 | D=-0.0168 G=-11.8134 | frob=1.5381 (best=1.0712) | 32.2s
