CRY Index,FTSE/CoreCommodity CRB Excess,USD,#N/A Invalid Field
W 1 Comdty,WHEAT FUTURE(CBT) Mar26,USD,
CC1 Comdty,COCOA FUTURE      Mar26,USD,
C 1 Comdty,CORN FUTURE       Mar26,USD,
HG1 Comdty,COPPER FUTURE     Mar26,USD,
XCU Comdty,Copper,XCU,
CT1 Comdty,COTTON NO.2 FUTR  Mar26,USD,
LC1 Comdty,LIVE CATTLE FUTR  Feb26,USD,
CL1 Comdty,WTI CRUDE FUTURE  Mar26,USD,
GOLDS Comdty,GOLD SPOT $/OZ,USD,
GC1 Comdty,GOLD 100 OZ FUTR  Feb26,USD,
SI1 Comdty,SILVER FUTURE     Mar26,USD,
HO1 Comdty,NY Harb ULSD Fut  Mar26,USD,
XB1 Comdty,GASOLINE RBOB FUT Mar26,USD,
LH1 Comdty,LEAN HOGS FUTURE  Feb26,USD,
SB1 Comdty,SUGAR #11 (WORLD) Mar26,USD,
NG1 Comdty,NATURAL GAS FUTR  Mar26,USD,
JO1 Comdty,FCOJ-A FUTURE     Mar26,USD,
LMAHDS03 Comdty,LME ALUMINUM  3MO ($),USD,
S 1 Comdty,SOYBEAN FUTURE    Mar26,USD,
LMNIDS03 Comdty,LME NICKEL    3MO ($),USD,
KC1 Comdty,COFFEE 'C' FUTURE Mar26,USD,
FDFD Index,Fed Funds,USD,
GB 1 GOVT,B 01/21/27,USD,
GB3 GOVT,B 05/07/26,USD,
GB6 GOVT,B 08/06/26,USD,
GB 12 GOVT,B 01/21/27,USD,
GT2 GOVT,T 3 1/2 01/31/28,USD,
GT3 GOVT,T 3 1/2 01/15/29,USD,
GT 5 GOVT,T 3 3/4 01/31/31,USD,
GT 10 GOVT,T 4 11/15/35,USD,
GT 20 GOVT,T 4 5/8 11/15/45,USD,
GT 30 GOVT,T 4 5/8 11/15/55,USD,
EDDR03M Index,ICAP Cptl Mkts Eurodollar 3M,USD,
EDDR06M Index,ICAP Cptl Mkts Eurodollar 6M,USD,
EDDR12M Index,ICAP Cptl Mkts Eurodollar 12M,USD,
INDU Index,Dow Jones Industrial Average,USD,
SPx Index,S&P 500 INDEX,USD,
CCMP Index,NASDAQ Composite Index,USD,
DCPB015D Index,CP Dealer Top   15D Disc,USD,
DCPB030D Index,CP Dealer Top   30D Disc,USD,
CFNAI Index,CFNAI,USD,
ETSLTOTL Index,National Association Realtors,#N/A N/A,
ETSLMOM Index,MoM %,#N/A N/A,
HPIMMOM% Index,Purchase Only MoM% SA,USD,
RCHSINDX Index,RICHMOND FED SA.MANF INDEX,#N/A N/A,
MBAVCHNG Index,WoW% Change,#N/A N/A,
ECONMUS Index,PMI\US\MAN\ME\HE,#N/A N/A,
NHSLTOT Index,Total sold,#N/A N/A,
NHSLCHNG Index,Month % change,#N/A N/A,
INJCJC Index,Initial Jobless Claims SA,#N/A N/A,
INJCSP Index,Continuing Jobless Claims SA,#N/A N/A,
DGNOCHNG Index,Month % change,#N/A N/A,
DGNOXTCH Index,Less Trans %,#N/A N/A,
CGNOXAI% Index,Less aircraft %,#N/A N/A,
DCPB060D Index,CP Dealer Top   60D Disc,USD,
DCPB090D Index,CP Dealer Top   90D Disc,USD,
DCPB120D Index,CP Dealer Top   120D Disc,USD,
DCPB180D Index,CP Dealer Top   180D Disc,USD,
US0001W Index,ICE LIBOR USD 1W,USD,
US0001M Index,ICE LIBOR USD 1M,USD,
US0002M Index,ICE LIBOR USD 2M,USD,
US0003M Index,ICE LIBOR USD 3M,USD,
US0006M Index,ICE LIBOR USD 6M,USD,
US0012M Index,ICE LIBOR USD 12M,USD,
JPY BGN Curncy,JAPANESE YEN,JPY,
EUR BGN Curncy,EURO,EUR,
GBP BGN Curncy,BRITISH POUND,GBP,
CHF BGN Curncy,SWISS FRANC,CHF,
CAD BGN Curncy,CANADIAN DOLLAR,CAD,
GNSF 3 Mtge,GNSF 3 2/26,USD,
FGLMC 3 Mtge,FGLMC 3 2/26,USD,
FNCL 3 Mtge,FNCL 3 2/26,USD,
PRIMBB Index,Prime,#N/A N/A,
BLR Index,Broker Loan Rate,USD,
FDTR Index,Fed Funds Target Rate US,USD,
DISCPRIM Index,Primary Credit Rate,USD,
tu1 Comdty,US 2YR NOTE (CBT) Mar26,USD,
Fv1 Comdty,US 5YR NOTE (CBT) Mar26,USD,
TY1 Comdty,US 10YR NOTE (CBT)Mar26,USD,
US1 Comdty,US LONG BOND(CBT) Mar26,USD,
USSWAP3 CMPN Curncy,US DOLLAR SWAP 3 YR,USD,
USSWAP5 CMPN Curncy,US DOLLAR SWAP 5 YR,USD,
USSWAP10 CMPN Curncy,US DOLLAR SWAP 10 YR,USD,
USSWAP30 CMPN Curncy,US DOLLAR SWAP 30 YR,USD,
GOLDS Comdty,GOLD SPOT $/OZ,USD,
WN1 Comdty,US ULTRA BOND CBT Mar26,USD,
US1 Comdty,US LONG BOND(CBT) Mar26,USD,
TY1 Comdty,US 10YR NOTE (CBT)Mar26,USD,
FV1 Comdty,US 5YR NOTE (CBT) Mar26,USD,
TU1 Comdty,US 2YR NOTE (CBT) Mar26,USD,
CN1 Comdty,CAN 10YR BOND FUT Mar26,CAD,
UB1 Comdty,EURO-BUXL 30Y BND Mar26,EUR,
RX1 Comdty,EURO-BUND FUTURE  Mar26,EUR,
OE1 Comdty,EURO-BOBL FUTURE  Mar26,EUR,
DU1 Comdty,EURO-SCHATZ FUT   Mar26,EUR,
G 1 Comdty,LONG GILT FUTURE  Mar26,GBP,
IK1 Comdty,Euro-BTP Future   Mar26,EUR,
OAT1 Comdty,Euro-OAT Future   Mar26,EUR,
BTS1 Comdty,Short Euro-BTP Fu Mar26,EUR,
FB1 Comdty,SWISS FED BND FUT Mar26,CHF,
JB1 Comdty,JPN 10Y BOND(OSE) Mar26,JPY,
KAA1 Comdty,KOREA 10YR BND FU Mar26,KRW,
KE1 Comdty,KOREA 3YR BND FUT Mar26,KRW,
XM1 Comdty,AUST 10Y BOND FUT Mar26,AUD,
YM1 Comdty,AUST 3YR BOND FUT Mar26,AUD,
ED1 Comdty,90DAY EURO$ FUTR  Mar26,USD,
LED1 Comdty,90DAY EURO$ (ICE) Mar26,USD,
FF1 Comdty,FED FUND 30DAY    Feb26,USD,
BA1 Comdty,BANK ACCEPT FUTR  Mar26,CAD,
OD1 Comdty,ONE-DAY BANK DEP  Mar26,BRL,
DO1 Comdty,MEXICAN TIIE      Feb26,MXN,
ER1 Comdty,3MO EURO EURIBOR  Mar26,EUR,
L 1 Comdty,90DAY STERLING FU Mar26,GBP,
ORI1 COMP Comdty,OMX RIBA Futures  Mar26,SEK,
YE1 Comdty,3MO EUROYEN TFX   Mar26,JPY,
IR1 Comdty,90-DAY BANK BILL  Mar26,AUD,
KK1 Comdty,3 MONTH KLIBOR    Mar26,MYR,
ZB1 Comdty,NEW ZEAL 3MO BILL Mar26,NZD,
USSA5 CMPN Curncy,US DOLLAR SWAP 5 YR,USD,
CDSW5 CMPN Curncy,CANADIAN DOLLAR SWAP 5 YR,CAD,
MPSW5E CMPN Curncy,MEXICAN PESO SWAP,MXN,
BPSW5 CMPN Curncy,BRITISH POUND SWAP 5 YR,GBP,
EUSA5 CMPN Curncy,EURO SWAP 5 YR,EUR,
SFSW5 CMPN Curncy,SWISS FRANC SWAP 5 YR,CHF,
SKSW5 CMPN Curncy,SWEDISH KRONA SWAP 5 YR,SEK,
DKSW5 CMPN Curncy,DANISH KRONE SWAP 5 YR,DKK,
SASW5 CMPN Curncy,SOUTH AFRICAN RAND SWAP 5 YR,ZAR,
JYSWAP5 CMPN Curncy,JAPANESE YEN SWAP 5 YR,JPY,
HDSW5 CMPN Curncy,HONG KONG DOLLAR SWAP 5 YR,HKD,
ADSWAP5 CMPN Curncy,AUSTRALIAN DOLLAR SWAP 5 YR,AUD,
NDSWAP5 CMPN Curncy,NEW ZEALAND DOLLAR SWAP 5 YR,NZD,
KWSWO5 CMPN Curncy,SOUTH KOREAN WON SWAP,KRW,
SDSW5 CMPN Curncy,SINGAPORE DOLLAR SWAP 5 YR,SGD,
PPSWO5 CMPN Curncy,PHILIPPINES PESO SWAP,PHP,
GT02 Govt,T 3 1/2 01/31/28,USD,
GT03 Govt,T 3 1/2 01/15/29,USD,
GT04 Govt,T 4 1/4 01/31/30,USD,
GT05 Govt,T 3 3/4 01/31/31,USD,
GT07 Govt,T 4 01/31/33,USD,
GT10 Govt,T 4 11/15/35,USD,
GT30 Govt,T 4 5/8 11/15/55,USD,
USSP2 CMPN Curncy,US DOLLAR SWAP,USD,
USSP3 CMPN Curncy,US DOLLAR SWAP,USD,
USSP4 CMPN Curncy,US DOLLAR SWAP,USD,
USSP5 CMPN Curncy,US DOLLAR SWAP,USD,
USSP7 CMPN Curncy,US DOLLAR SWAP,USD,
USSP10 CMPN Curncy,US DOLLAR SWAP,USD,
USSP30 CMPN Curncy,US DOLLAR SWAP,USD,
USSWAP2 CMPN Curncy,US DOLLAR SWAP 2 YR,USD,
USSWAP4 CMPN Curncy,US DOLLAR SWAP 4 YR,USD,
USSWAP7 CMPN Curncy,US DOLLAR SWAP 7 YR,USD,
FNMGVN2 Index,2 Year,USD,
FNMGVN3 Index,3 Year,USD,
FNMGVN4 Index,4 Year,USD,
FNMGVN5 Index,5 Year,USD,
FNMGVN7 Index,7 Year,USD,
FNMGVN10 Index,BG FNMA to Govt 10 Year,USD,
FNMGVN30 Index,BG FNMA to Govt 30 Year,USD,
FNMSWP2 Index,BG FNMA to Swap 2 Year,USD,
FNMSWP3 Index,BG FNMA to Swap 3 Year,USD,
FNMSWP4 Index,BG FNMA to Swap 4 Year,USD,
FNMSWP5 Index,BG FNMA to Swap 5 Year,USD,
FNMSWP7 Index,BG FNMA to Swap 7 Year,USD,
FNMSWP10 Index,BG FNMA to Swap 10 Year,USD,
FNMSWP30 Index,BG FNMA to Swap 30 Year,USD,
FHMGVN2 Index,2 Year,USD,
FHMGVN3 Index,3 Year,USD,
FHMGVN4 Index,4 Year,USD,
FHMGVN5 Index,5 Year,USD,
FHMGVN7 Index,7 Year,USD,
FHMGVN10 Index,BG FHLMC to Govt10 Year,USD,
FHMGVN30 Index,BG FHLMC to Govt30 Year,USD,
FHMSWP2 Index,BG FHLMC to Swap2 Year,USD,
FHMSWP3 Index,BG FHLMC to Swap3 Year,USD,
FHMSWP4 Index,BG FHLMC to Swap4 Year,USD,
FHMSWP5 Index,BG FHLMC to Swap5 Year,USD,
FHMSWP7 Index,BG FHLMC to Swap7 Year,USD,
FHMSWP10 Index,BG FHLMC to Swap10 Year,USD,
FHMSWP30 Index,BG FHLMC to Swap30 Year,USD,
SPX Index,S&P 500 INDEX,USD,
BE500 Index,Bloomberg European 500 Index,EUR,
USCV1 CMPN Curncy,USD CF %VL ATMv3 OIS 1Y,USD,
USCV2 CMPN Curncy,USD CF %VL ATMv3 OIS 2Y,USD,
USCV3 CMPN Curncy,USD CF %VL ATMv3 OIS 3Y,USD,
USCV4 CMPN Curncy,USD CF %VL ATMv3 OIS 4Y,USD,
USCV5 CMPN Curncy,USD CF %VL ATMv3 OIS 5Y,USD,
USCV7 CMPN Curncy,USD CF %VL ATMv3 OIS 7Y,USD,
USCV10 CMPN Curncy,US DOLLAR/US DOLLAR US DOLLAR,USD,
IBOXUMAE CBIN Curncy,MARKIT CDX IG,USD,
IBOXHYAE CBIN Curncy,MARKIT CDX HY,USD,
MCDNAA5 CBIN Curncy,MARKIT MCDX MCDX,USD,
IBOXULSE CBIN Curncy,MARKIT CDX LATAM,USD,
ITRXEBE CBIN Curncy,MARKIT ITRX EUR,EUR,
ITRXEHE CBIN Curncy,MARKIT ITRX HIVOL,EUR,
ITRXEXE CBIN Curncy,MARKIT ITRX XOVER,EUR,
ITRXESE CBIN Curncy,MARKIT ITRX SNRFIN,EUR,
ITRXEUE CBIN Curncy,MARKIT ITRX SUBFIN,EUR,
ITRXCCE CBIN Curncy,MARKIT ITRX CEEMEA,USD,
ITXSWE CBIN Curncy,MARKIT ITRX SOVXWE,USD,
ITXSCE CBIN Curncy,MARKIT ITRX SOVXCE,USD,
ITRXAJE CBIN Curncy,MARKIT ITRX JAPAN,JPY,
ITRXAGE CBIN Curncy,MARKIT ITRX XJIG,USD,
ITRXAAE CBIN Curncy,MARKIT ITRX AUS,USD,
IBOXUME CBIN Curncy,MARKIT CDX EM,USD,
USDSEK BGN Curncy,US DOLLAR/SWEDISH KRONA,SEK,
USDNOK BGN Curncy,US DOLLAR/NORWEGIAN KRONE,NOK,
USDJPY BGN Curncy,US DOLLAR/JAPANESE YEN,JPY,
USDDKK BGN Curncy,US DOLLAR/DANISH KRONE,DKK,
USDCHF BGN Curncy,US DOLLAR/SWISS FRANC,CHF,
USDCAD BGN Curncy,US DOLLAR/CANADIAN DOLLAR,CAD,
NZDUSD BGN Curncy,NEW ZEALAND DOLLAR/US DOLLAR,USD,
GBPUSD BGN Curncy,BRITISH POUND/US DOLLAR,USD,
EURUSD BGN Curncy,EURO/US DOLLAR,USD,
AUDUSD BGN Curncy,AUSTRALIAN DOLLAR/US DOLLAR,USD,
USDZAR BGN Curncy,US DOLLAR/SOUTH AFRICAN RAND,ZAR,
USDTWD BGN Curncy,US DOLLAR/TAIWAN DOLLAR,TWD,
USDTRY BGN Curncy,US DOLLAR/TURKISH LIRA,TRY,
USDSGD BGN Curncy,US DOLLAR/SINGAPORE DOLLAR,SGD,
USDRUB BGN Curncy,US DOLLAR/RUSSIAN RUBLE,RUB,
USDPLN BGN Curncy,US DOLLAR/POLISH ZLOTY,PLN,
USDPEN BGN Curncy,US DOLLAR/PERUVIAN SOL,PEN,
USDMYR BGN Curncy,US DOLLAR/MALAYSIAN RINGGIT,MYR,
USDMXN BGN Curncy,US DOLLAR/MEXICAN PESO,MXN,
USDKRW BGN Curncy,US DOLLAR/SOUTH KOREAN WON,KRW,
USDINR BGN Curncy,US DOLLAR/INDIAN RUPEE,INR,
USDILS BGN Curncy,US DOLLAR/ISRAELI SHEKEL,ILS,
USDIDR BGN Curncy,US DOLLAR/INDONESIAN RUPIAH,IDR,
USDHUF BGN Curncy,US DOLLAR/HUNGARIAN FORINT,HUF,
USDHKD BGN Curncy,US DOLLAR/HONG KONG DOLLAR,HKD,
USDCZK BGN Curncy,US DOLLAR/CZECH KORUNA,CZK,
USDCOP BGN Curncy,US DOLLAR/COLOMBIAN PESO,COP,
USDCNY BGN Curncy,US DOLLAR/CHINA RENMINBI,CNY,
USDCLP BGN Curncy,US DOLLAR/CHILEAN PESO,CLP,
USDBRL BGN Curncy,US DOLLAR/BRAZIL REAL,BRL,
USDARS BGN Curncy,US DOLLAR/ARGENTINE PESO,ARS,
SPTSX Index,S&P/TSX Composite Index,CAD,
MEXBOL Index,S&P/BMV IPC,MXN,
IBOV Index,Ibovespa Brasil Sao Paulo Stoc,BRL,
SX5E Index,EURO STOXX 50 Price EUR,EUR,
UKX Index,FTSE 100 Index,GBP,
CAC Index,CAC 40,EUR,
DAX Index,Deutsche Boerse AG German Stoc,EUR,
IBEX Index,IBEX 35 Index,EUR,
FTSEMIB Index,FTSE MIB Index,EUR,
AEX Index,AEX-Index,EUR,
OMX Index,OMX Stockholm 30 Index,SEK,
SMI Index,Swiss Market Index,CHF,
NKY Index,Nikkei 225,JPY,
HSI Index,Hang Seng Index,HKD,
AS51 Index,S&P/ASX 200,AUD,
TSFR3M Index,CME Term SOFR 3 Month,USD,
CL1 Comdty,Generic 1st 'CL' Future,USD,
CL2 Comdty,Generic 2nd 'CL' Future,USD,
CL3 Comdty,Generic 3rd 'CL' Future,USD,
CL4 Comdty,Generic 4th 'CL' Future,USD,
EUCRBRDT Index,Dated BFO,USD,
OILPHIST Index,Bloomberg Crude Oil Historical,USD,
DFAE US Equity,Dimensional Emerging Core Equi,USD,
DFAI US Equity,Dimensional International Core,USD,
DFAC US Equity,Dimensional US Core Equity 2 E,USD,
DFAS US Equity,Dimensional US Small Cap ETF,USD,
DFAX US Equity,Dimensional World EX US Core E,USD,
DFAT US Equity,Dimensional US Targeted Value,USD,
DFAU US Equity,Dimensional US Core Equity Mar,USD,
DFAW US Equity,Dimensional World Equity ETF,USD,
DFATCIN CN Equity,Dimensional Funds - DFA Global,CAD,
DFAUSFDS Index,Dimensional US Foundations Ind,USD,
DFACNVEF CN Equity,Dimensional Funds - DFA Canadi,CAD,
DFAR US Equity,Dimensional US Real Estate ETF,USD,
DFATCFN CN Equity,Dimensional Funds - DFA Global,CAD,
DFAI UP Equity,Dimensional International Core,USD,
DFATCAN CN Equity,Dimensional Funds - DFA Global,CAD,
DFAUCIN CN Equity,Dimensional Funds - DFA US Cor,CAD,
DFAUSVS Index,Dimensional US Small Cap Value,USD,
DFA0035 AU Equity,Dimensional World Equity Trust,AUD,
DFACVIN CN Equity,Dimensional Funds - DFA Canadi,CAD,
DFAUHPFT Index,Dimensional US High Profitabil,USD,
DFAUSINN Index,Dimensional US Innovation Inde,USD,
DFA2068 AU Equity,Dimensional Australian Sustain,AUD,
DFA8887 AU Equity,Dimensional Emerging Markets S,AUD,
DFAE UP Equity,Dimensional Emerging Core Equi,USD,
DFAGSBB ID Equity,Dimensional Funds - Global Sho,EUR,
DFAUECPE Index,Dimensional US Equity Core Plu,USD,
DFA0028 AU Equity,Dimensional Global Bond Trust,AUD,
DFA5YRFI CN Equity,Dimensional Funds - DFA Five-Y,CAD,
DFA7518 AU Equity,Dimensional Sustainability Wor,AUD,
DFA8020A CN Equity,Dimensional Funds - DFA Global,CAD,
DFADCDF CN Equity,Dimensional Funds - DFA US Vec,USD,
DFAG7IN CN Equity,Dimensional Funds - DFA Global,CAD,
DFAGLCSA CN Equity,Dimensional Funds - DFA Global,CAD,
DFAGLREA CN Equity,Dimensional Funds - DFA Global,CAD,
DFAGSBA ID Equity,Dimensional Funds - Global Sho,USD,
DFAGSBC ID Equity,Dimensional Funds - Global Sho,GBP,
DFAINTVA CN Equity,Dimensional Funds - DFA Intern,CAD,
DFAISO Index,Dimensional International Mark,USD,
