aapl,msft,nvda,amzn,jpm,jnj,xom,tsla,nflx,v,googl,meta,brk_b,unh,ma,hd,pg,cost,dis,intc
0.00087316474,-0.0037201585,-0.013024429,-0.017393487,-0.002383418,-0.0070223734,-0.0048553273,-0.014819079,-0.021954207,-0.0020559204,-0.017381072,-0.0059292302,-0.0041771545,0.0049432395,-0.0036335338,-0.010275469,-0.0067918734,-0.0010338263,-0.009620113,-0.0067058895
0.012192147,0.004375304,0.007997187,0.014455405,0.01714027,-0.006586569,-0.001072866,0.009028062,0.002084076,0.013740272,-0.0064155823,0.022886634,0.009164211,0.006038195,0.013741331,-0.009317205,-0.0015652991,0.010360574,0.0060258047,0.008040264
0.0181987,0.00518712,-0.00055153714,-0.009447729,0.006725937,0.0014048629,-0.0037092655,0.014829931,0.011314986,0.00052688504,0.0260676,0.025381774,0.006941545,0.009968266,-0.003920526,0.0040177256,0.0036128769,0.01100723,0.012096498,0.0083267735
0.0069217933,-0.008045742,-0.005178815,-0.005679612,0.0016413424,-0.0036805733,-0.002489951,0.01238895,-0.011054118,-0.0018931302,-0.018177101,-0.0028971853,-0.00022941249,0.00011031912,0.00051984855,-0.008135044,-0.006339204,0.00073035015,-0.0012602659,-0.0020238212
0.03355264,0.0063388264,0.0037692226,-0.015344875,0.0046876487,-0.016473077,-0.013177301,0.003618542,0.025207859,-0.0005371568,0.016172918,0.011348146,-0.00054639415,0.0034381445,-0.005668477,-0.008464119,0.0022572486,0.0030097365,0.0049968474,-0.006585268
0.023426503,-0.0066000326,0.007625694,0.006620962,0.0065413956,-0.0034347936,-0.0013871078,0.020071626,-0.007060865,0.0075397473,-0.002849259,0.0051201396,0.0033281047,0.0068657813,0.009952331,-0.0040365164,-0.0001428824,-0.01349524,0.0014371998,0.010475456
-0.002373727,0.0119293295,-0.010439142,0.03045098,0.00032373297,-0.0032670868,0.0019639723,-0.030004209,0.047746595,0.0015990828,0.011119717,0.022346895,-0.00066405407,0.00082485937,0.0052966424,-0.0029182148,0.00056676567,-0.007244992,-0.003325038,-0.0072123837
-0.020588757,0.0004527839,0.013106755,0.005413369,-0.010982752,0.01177669,0.011588895,0.05197864,-0.012604952,-0.009832138,-0.0044494295,0.0045348206,-0.0013368675,-0.0042387694,-0.004401855,0.015465286,0.0062587145,0.008706006,-0.0006687455,0.007551959
0.011717608,-0.0133010205,0.0016769245,-0.008722087,-0.005646757,-0.0036669956,-0.0028352416,-0.01851128,0.009389989,-0.0013871784,-0.0035873079,0.00015727058,-0.0032581906,0.0043853754,-0.0035981447,0.00041661723,0.0006311442,-0.00011484162,-0.0017749012,0.0066827717
-0.020771189,-0.006081975,0.012386576,0.007888072,0.0012298685,0.0034211318,0.003475645,-0.010513516,0.031538814,-0.000778833,-0.0061342213,-0.012038738,0.0011433229,-0.0029670282,0.00020345999,-0.004251356,-0.00570321,0.0027903062,0.0013817339,0.00859727
