epoch,train_critic_loss,train_critic_real_score,train_critic_fake_score,train_gradient_penalty,train_generator_loss,train_generator_score,val_generator_loss,val_critic_real_score,val_critic_fake_score,val_wasserstein_estimate,val_mean_gap,val_vol_gap
0,1.183300011554512,-1.6923734669502573,-1.7491727038878568,0.12400992597543074,1.665098696741891,-1.665098696741891,1.7228111783663431,-1.5304946064949037,-1.7228111783663431,0.1923165718714396,0.0005063712237946068,0.009091845496247213
1,-0.7716815775986445,-2.5937177715665203,-3.4578919651270925,0.009249261803742522,3.604269587387473,-3.604269587387473,8.64401528040568,-7.434062989552816,-8.64401528040568,1.2099522908528646,0.0010215425766849269,0.008173162241776784
2,-1.0484590474831856,-11.844415236327608,-12.97671530610424,0.008384102617560145,12.780800609265343,-12.780800609265343,9.053929837544759,-8.09541459083557,-9.053929837544759,0.9585152467091879,0.0007948735146783292,0.005913927018021544
3,-0.9609190715571582,-24.87383147417489,-25.89039614241002,0.0055645596189375065,25.926964808318573,-25.926964808318573,34.93559290568034,-34.08003158569336,-34.93559290568034,0.8555613199869792,0.0007673515317340692,0.004765029639626542
4,-0.9573401687508922,-40.72561732793258,-41.728015059131685,0.004505756359953843,41.847624520124015,-41.847624520124015,59.363291041056314,-58.49918797810872,-59.363291041056314,0.8641030629475911,0.000781050279814129,0.004938794548312823
5,-1.0133884569345895,-64.33262867038533,-65.38319148047496,0.0037174355760325236,65.6203940116753,-65.6203940116753,88.18060201009115,-87.24529647827148,-88.18060201009115,0.9353055318196615,0.0005693495040759444,0.004181373321140806
6,-1.060359369900267,-83.34222062967591,-84.43933752027608,0.0036757526342348604,84.72997574887033,-84.72997574887033,97.86422195434571,-96.90514526367187,-97.86422195434571,0.9590766906738282,0.0005392629653215408,0.0038845851939792436
7,-1.1086086287336834,-97.74089677455062,-98.88310047731561,0.003359507363125824,99.57180139573954,-99.57180139573954,96.43166376749674,-95.39562784830729,-96.43166376749674,1.036035919189453,0.0005738370916030059,0.002981682859050731
8,-1.162617462166285,-106.36874260336666,-107.57172186899993,0.004036180069275453,107.90473278498246,-107.90473278498246,116.97427673339844,-115.96747639973958,-116.97427673339844,1.0068003336588542,0.0005208428813299785,0.003338585902626316
9,-1.1923133639966028,-123.64492649143025,-124.8764954906399,0.003925563781364363,125.32582234528105,-125.32582234528105,134.99007059733074,-133.8745371500651,-134.99007059733074,1.115533447265625,0.00036214459493445853,0.003771364673351248
10,-1.245009137917373,-130.333394131418,-131.62339465901002,0.004499138912513568,132.23629327547752,-132.23629327547752,144.3370854695638,-143.19547424316406,-144.3370854695638,1.1416112263997396,0.0004902234980060408,0.0026769496500492094
11,-1.246680045531968,-145.03874452235334,-146.33661923166048,0.005119466676151822,146.2924169120142,-146.2924169120142,166.64877166748047,-165.48929595947266,-166.64877166748047,1.1594757080078124,0.0005331049508337552,0.0037001188844442367
12,-1.2819280548621033,-139.34361622697216,-140.67730577113264,0.005176149031455171,140.48992525520973,-140.48992525520973,150.67462565104168,-149.50115203857422,-150.67462565104168,1.1734736124674479,0.0004525006903956334,0.0035167798787976304
13,-1.2997782533451663,-155.12803378347624,-156.4695929834398,0.004178094510896668,157.85499016713288,-157.85499016713288,158.2440678914388,-157.05064748128254,-158.2440678914388,1.19342041015625,0.0005591327334210898,0.0030734835580612224
14,-1.2920366965107999,-157.51228720454847,-158.84911992994407,0.004479603159933951,159.30353481486694,-159.30353481486694,161.38811187744142,-160.21834564208984,-161.38811187744142,1.1697662353515625,0.00039530348149128256,0.00275339779133598
15,-1.3653430529570176,-177.7955564078638,-179.21081736936407,0.004991790830745693,179.6856121774447,-179.6856121774447,199.31216583251953,-198.111452738444,-199.31216583251953,1.2007130940755208,0.00039911359005297223,0.003107226430438459
16,-1.3443605788683488,-187.39375072414592,-188.79299655203093,0.005488524796496445,188.69265087580277,-188.69265087580277,205.98871765136718,-204.78646799723307,-205.98871765136718,1.2022496541341146,0.00044962694907250506,0.0033155041513964535
17,-1.403064726772955,-202.15955663131456,-203.61340590654794,0.005078455205351683,204.48410486770888,-204.48410486770888,204.19162089029948,-202.95276285807293,-204.19162089029948,1.2388580322265625,0.0004940118737674008,0.0036779389639074603
