epoch,train_critic_loss,train_critic_real_score,train_critic_fake_score,train_gradient_penalty,train_generator_loss,train_generator_score,train_vol_penalty,val_generator_loss,val_critic_real_score,val_critic_fake_score,val_wasserstein_estimate,val_mean_gap,val_vol_gap
0,2.7231388427317142,-0.6131863642160355,-0.5908758909583597,0.27008283517512854,0.5757772307465606,-0.5756056537837879,3.4315329747002225e-05,0.26964357246955234,-0.3103625571976105,-0.26964357246955234,-0.04071898460388183,0.0013345876786236962,0.004485340012858312
1,7.555148953098362,0.08139752240267471,0.18227379021661008,0.7454272614697278,-0.16810859323053037,0.1777862203228524,0.0019355256984962873,0.0016882195874738197,-0.01650436135629813,-0.0016882195874738197,-0.014816141687333584,0.007537430338561535,0.01192332971841097
2,9.623850725464902,-0.016022453210869078,9.766624899091736e-05,0.9607730618977951,0.004612855321206784,-0.00018305103620119647,0.0008859608595662009,-0.014290426050623257,-0.011477521061897278,0.014290426050623257,-0.02576794698834419,0.015335217801233132,0.016262999176979064
3,8.141164712986704,-0.05960041992499501,-0.22836205694761316,0.8309926324981755,0.32456249754749616,-0.2699820064955344,0.010916098384028775,3.824556414286296,-1.1922110080718995,-3.824556414286296,2.632345422108968,0.06347088714440664,0.04872776766618093
4,-1.4188426995681505,-3.8399627703731345,-5.551765660108146,0.029296019509798744,5.593750117188793,-5.591626029903606,0.0004248166603200982,6.341648642222086,-5.760444831848145,-6.341648642222086,0.5812038103739421,0.0025825771658370892,0.007710307495047649
5,-0.22517871578871193,-6.385610911805751,-6.649757854009079,0.0038968226166986625,6.654804165080442,-6.654404971559169,7.984126722923543e-05,7.27249714533488,-7.081286843617757,-7.27249714533488,0.1912103017171224,0.0005826958144704501,0.006369469532122214
6,-0.048699295369245235,-6.9653896962182,-7.077581930968721,0.0063492939624959065,7.058032003499694,-7.057746175992286,5.7169268059670545e-05,8.141540241241454,-8.024225902557372,-8.141540241241454,0.11731433868408203,0.0008423622736396889,0.008163647974530857
7,-0.16593070523971218,-9.28777331820989,-9.479033154956365,0.0025329131820984972,9.51737471758309,-9.516934111966926,8.81095514514373e-05,9.427345403035481,-9.086471112569173,-9.427345403035481,0.34087429046630857,0.0007050432031974196,0.007146576295296351
8,-0.26688899983794,-8.26146472510645,-8.555072760177872,0.0026719036679300557,8.538369211099916,-8.538097987740727,5.423544853791531e-05,9.706510798136394,-9.326312001546224,-9.706510798136394,0.38019879659016925,0.0006086223215485613,0.005699477872500817
9,-0.3447171050613209,-9.659930487810556,-10.031632471892793,0.0026984878409243487,10.034574136895648,-10.034320928282657,5.063908068577648e-05,11.008617782592774,-10.578393236796062,-11.008617782592774,0.43022454579671227,0.0004866339052872111,0.007860075775533914
10,-0.4285304490792549,-11.56581742884749,-12.024857165449756,0.0030509289033450503,11.96428316730564,-11.964050422280522,4.6543486228151544e-05,11.978868929545085,-11.54367904663086,-11.978868929545085,0.4351898829142253,0.00044693915406242014,0.0056650688250859576
11,-0.5067449590917361,-13.116243831181931,-13.653584771237131,0.003059598174778808,13.749978663557666,-13.7497241941549,5.089338264951948e-05,11.857905705769857,-11.465233039855956,-11.857905705769857,0.39267266591389977,0.0005547684209886939,0.005433363871028026
12,-0.5132563250549769,-14.961541919384972,-15.513954259581485,0.003915601271358556,15.5255708694458,-15.525345188076214,4.514314932132069e-05,12.021703592936198,-11.607976150512695,-12.021703592936198,0.4137274424235026,0.00047312181171340245,0.005022083098689715
13,-0.5319361479605659,-16.677213038428356,-17.24445873195842,0.0035309546054400095,17.082151639259468,-17.081976890563965,3.494298357123872e-05,17.90904795328776,-17.41104075113932,-17.90904795328776,0.4980072021484375,0.00028407955736232303,0.005011193019648393
14,-0.5825031576520305,-18.64049950292555,-19.257590633327677,0.0034587972080216633,19.31898650476488,-19.318849175663317,2.7465985267091606e-05,17.611417643229167,-17.104114405314128,-17.611417643229167,0.5073032379150391,0.00036117021615306535,0.004696932962785164
15,-0.6042257900965415,-19.237155623355154,-19.876339379003493,0.003495796970328537,19.838271448167703,-19.838117922766735,3.067312958962047e-05,18.618283843994142,-18.144843165079752,-18.618283843994142,0.473440678914388,0.0003737316990736872,0.0035570308100432158
16,-0.6396908133716906,-21.094940929089564,-21.769438242508194,0.0034806496235324953,21.78891822039071,-21.788766990273686,3.024443841410576e-05,20.642984898885093,-20.11777140299479,-20.642984898885093,0.5252134958902995,0.0003440779206963877,0.004557726283868154
17,-0.6495049696857647,-22.44611148510949,-23.125105453749836,0.0029488995013229736,23.161798832780224,-23.16170550200899,1.868011174137483e-05,22.683133443196613,-22.218826548258463,-22.683133443196613,0.464306894938151,0.0005955769525219996,0.003608162421733141
18,-0.6742236235384214,-24.770145416259766,-25.48137380309024,0.003700476202924373,25.475259198980815,-25.47515064174846,2.1707407140022072e-05,21.053608322143553,-20.620774714152017,-21.053608322143553,0.4328336079915365,0.0008344861407143374,0.0036958299422015744
19,-0.6985844292883145,-26.17279363082627,-26.906028618246822,0.003465055928553723,26.941661091174108,-26.94156902119265,1.841537338758965e-05,26.381711451212563,-25.812984720865884,-26.381711451212563,0.5687267303466796,0.00043379723210819067,0.0035131199440608424
20,-0.7384662703942444,-28.1007274369062,-28.867695921558443,0.0028502219132151676,28.979713633909064,-28.97963624081369,1.5498093959603603e-05,28.156854502360027,-27.599717966715495,-28.156854502360027,0.5571365356445312,0.0004437981639057398,0.005642177443951369
21,-0.7699357442936655,-29.927236136743577,-30.72560766187765,0.002843578124341902,31.032925557282013,-31.03279517868818,2.6081841913425813e-05,31.101168060302733,-30.472466278076173,-31.101168060302733,0.6287017822265625,0.00040361619515654943,0.0044199406790236635
22,-0.7780811655319343,-32.173025648472674,-32.98232880285231,0.0031221994111053962,33.352097721423135,-33.352000575954634,1.9431044119439816e-05,32.905449295043944,-32.29498176574707,-32.905449295043944,0.610467529296875,0.0005633860128000379,0.003919702457884948
23,-0.785861307786683,-34.49212585061284,-35.31115425239175,0.003316708992608286,35.40116387706692,-35.401081634780105,1.645805592889408e-05,36.77556838989258,-36.14142583211263,-36.77556838989258,0.6341425577799479,0.0004243624454829842,0.0034194442288329203
24,-0.8257223983942452,-37.04681267172603,-37.90127705719512,0.002874198685877688,38.20645755832478,-38.20638966964463,1.3603741189075725e-05,37.41875966389974,-36.80479202270508,-37.41875966389974,0.6139676411946614,0.0005351411877200007,0.0042086282434562845
25,-0.8173144368802087,-38.43262397636801,-39.27597524351993,0.0026036830605658846,39.92731896093336,-39.927242602332164,1.5326970658522548e-05,40.20171559651693,-39.54855066935222,-40.20171559651693,0.6531649271647135,0.0005038067368635287,0.002989330173780521
26,-0.8243478859885264,-40.139464620816504,-40.988782979674255,0.0024970470065886342,41.68904333599543,-41.68895391690529,1.7841253539098927e-05,43.585611470540364,-42.89160868326823,-43.585611470540364,0.6940027872721354,0.0004251348611433059,0.0032509641877065103
27,-0.8281583523346205,-41.20452066195213,-42.06083530490681,0.0028156289619677777,42.823161690922106,-42.82306561227572,1.9197485271125532e-05,41.94037780761719,-41.24687703450521,-41.94037780761719,0.6935007731119792,0.00043568499192285043,0.0032642369624227285
28,-0.8437013646303597,-39.941110255354545,-40.8194772106106,0.003466559416403347,41.14467582056078,-41.14463153127897,8.852612385669353e-06,44.987719472249346,-44.25686543782552,-44.987719472249346,0.7308540344238281,0.0003779871428074936,0.00280015851991872
29,-0.8380618257037664,-41.777015880002814,-42.64009598554191,0.002501828169304151,43.08334460500944,-43.08329701827744,9.523616033945118e-06,48.42728042602539,-47.68605092366536,-48.42728042602539,0.741229502360026,0.0004909304028842598,0.0028467913158237933
30,-0.8437845575607429,-44.4927640365342,-45.3640584784039,0.0027509883659797073,45.9476121805482,-45.94755373162738,1.170022539045638e-05,47.37444254557292,-46.647762298583984,-47.37444254557292,0.7266802469889323,0.0003433233650866896,0.0036076391115784645
31,-0.8626586431163853,-45.651282940880726,-46.53980293920485,0.0025861360901232684,47.41719268540204,-47.41713223214877,1.208919326727174e-05,49.8368771870931,-49.10541915893555,-49.8368771870931,0.7314580281575521,0.0003423487825784832,0.002755691095565756
32,-0.8458281270528244,-46.993663011971165,-47.86349545494985,0.002400431876471345,48.678296622583424,-48.67824024265095,1.1332793623666275e-05,50.985798899332686,-50.253883107503256,-50.985798899332686,0.7319157918294271,0.00039110637347524363,0.0028295024298131467
33,-0.8771147788581202,-49.2195523795435,-50.116489022465075,0.001982186093454849,51.18572442006256,-51.18567327725685,1.0213780380920871e-05,51.60258814493815,-50.859588877360025,-51.60258814493815,0.742999267578125,0.0004603390484893074,0.0026560944349815446
34,-0.8942498605130083,-51.56649366475768,-52.48578824835309,0.0025044729167563937,53.34271634635279,-53.34266468629999,1.0337803159619413e-05,57.39407145182292,-56.64967702229818,-57.39407145182292,0.7443944295247396,0.00037587812015165887,0.0023432664728413027
35,-0.8844603997165874,-54.509546506202824,-55.41924531581038,0.002523841277175283,56.595669503939355,-56.59562547328108,8.848235030061421e-06,57.81233673095703,-57.132093556722005,-57.81233673095703,0.680243174235026,0.000716949828589956,0.003045871357123057
36,-0.8862546237848573,-56.28735771825758,-57.200280981548765,0.002666863884877461,58.10345866316456,-58.10341308076503,9.067803086694211e-06,57.02352676391602,-56.353904469807944,-57.02352676391602,0.669622294108073,0.000429249502485618,0.002923908162241181
